,v,diff,date,dt,event,time_elapsed,pos
0,9770,0.0007452168763885097,2019-11-29 06:31:04.553326,1.82518228,0,0.0,1
1,9375,0.001361249967119579,2019-11-29 06:36:15.382527,3.10829201,1,3.10829201,0
2,5021,0.001296470541042715,2019-11-29 06:40:13.650296,2.38267769,0,5.4909697,1
3,9984,0.0007128507851604321,2019-11-29 06:46:50.952048,3.9730175200000004,0,9.46398722,0
4,6050,0.0012633421935864153,2019-11-29 06:50:18.754044,2.07801996,0,11.54200718,1
5,16240,0.00032367697320961696,2019-11-29 06:56:35.073697,3.76319653,0,15.30520371,1
6,5401,0.0015845045272143156,2019-11-29 07:00:44.012252,2.48938555,1,17.794589260000002,1
7,7694,0.0004201341259181279,2019-11-29 07:08:58.200325,4.941880729999999,0,22.736469990000003,0
8,6321,0.0009046850374710327,2019-11-29 07:10:47.650838,1.09450513,0,23.830975120000005,1
9,3347,0.0003876219442551391,2019-11-29 07:18:11.056439,4.43405601,0,28.265031130000004,0
10,1900,0.0001615534987922615,2019-11-29 07:21:15.628867,1.84572428,0,30.110755410000003,0
11,3168,0.000743482441191202,2019-11-29 07:29:39.532899,5.03904032,0,35.14979573,0
12,5028,0.000646956094248129,2019-11-29 07:31:11.076945,0.9154404599999999,0,36.06523619,0
13,2400,0.0019234660635859705,2019-11-29 07:38:09.139917,4.18062972,1,40.24586591,1
14,5379,0.00014532184778078724,2019-11-29 07:43:54.016822,3.44876905,0,43.69463496,1
15,4199,6.458070976439142e-05,2019-11-29 07:48:21.927287,2.6791046499999998,0,46.37373961,1
16,4593,0.0001614595950872583,2019-11-29 07:53:05.728150,2.83800863,0,49.21174824,0
17,3980,0.0004843005986984756,2019-11-29 07:57:40.344640,2.7461649,0,51.95791314,1
18,3800,0.0007426901870356337,2019-11-29 08:03:48.284176,3.6793953599999996,0,55.6373085,0
19,4982,0.00032297655471003875,2019-11-29 08:06:37.538385,1.69254209,0,57.32985059000001,1
20,4573,0.0004521963901346184,2019-11-29 08:10:52.714183,2.5517579799999996,0,59.881608570000004,0
21,4108,3.230756805060268e-05,2019-11-29 08:17:47.825103,4.1511092000000005,0,64.03271777,0
22,2400,0.00016152740347513353,2019-11-29 08:22:05.302214,2.57477111,0,66.60748888,1
23,6720,3.230339347428399e-05,2019-11-29 08:26:15.928230,2.50626016,0,69.11374904,0
24,7141,0.000581639593739568,2019-11-29 08:33:45.618313,4.49690083,0,73.61064987,0
25,7256,0.00012928248240383477,2019-11-29 08:36:22.059343,1.5644103,0,75.17506017000001,1
26,5448,0.0005495660183253063,2019-11-29 08:41:21.065004,2.99005661,0,78.16511678,0
27,5932,0.00038796030359556293,2019-11-29 08:47:33.859500,3.72794496,0,81.89306174000001,1
28,7438,0.0008239162333307625,2019-11-29 08:51:41.346964,2.47487464,0,84.36793638,1
29,12421,0.0008232379541782164,2019-11-29 08:59:26.175592,4.64828628,0,89.01622266,1
30,6200,0.0018734460726778184,2019-11-29 09:02:32.186899,1.86011307,1,90.87633573,0
31,6469,3.233054752064731e-05,2019-11-29 09:07:56.797148,3.24610249,0,94.12243821999999,1
32,5274,0.0006953372261303916,2019-11-29 09:12:23.108716,2.66311568,0,96.7855539,0
33,5605,0.0015379263693555065,2019-11-29 09:17:46.438723,3.2333000700000003,1,100.01885397,0
34,6205,0.000680217047848927,2019-11-29 09:20:29.628843,1.6319012000000002,0,101.65075517,1
35,7414,0.0008738854471630426,2019-11-29 09:28:56.845685,5.07216842,0,106.72292359,1
36,11086,0.0005498326383323053,2019-11-29 09:34:05.325410,3.08479725,0,109.80772083999999,1
37,13749,0.00032328979978981076,2019-11-29 09:35:18.857650,0.7353224,0,110.54304323999999,1
38,10299,0.0001616318353581014,2019-11-29 09:43:44.380787,5.0552313700000004,0,115.59827460999999,0
39,20646,0.0012277472383223377,2019-11-29 09:46:35.719549,1.71338762,0,117.31166223,1
40,74762,0.0,2019-11-29 09:52:36.554070,3.60834521,0,120.92000743999999,0
41,168131,0.00032294526358499925,2019-11-29 09:59:17.860084,4.01306014,0,124.93306758,0
42,25842,0.007042396899040301,2019-12-02 06:31:42.763694,1.5625846,1,126.49565218,0
43,39459,0.008273834337396473,2019-12-02 06:39:53.589102,4.90825408,1,131.40390625999999,0
44,33490,0.003915444666594438,2019-12-02 06:44:37.165447,2.83576345,1,134.23966971,0
45,36032,0.0035337476294428133,2019-12-02 06:46:59.390762,1.42225315,1,135.66192285999998,0
46,40669,0.0011586144269093818,2019-12-02 06:50:03.265549,1.83874787,0,137.50067072999997,0
47,30645,0.002620103318050368,2019-12-02 06:57:43.683104,4.60417555,1,142.10484627999998,0
48,37971,0.002752584356895408,2019-12-02 07:01:50.699081,2.47015977,1,144.57500604999998,1
49,12002,0.00043062756350575263,2019-12-02 07:09:21.906233,4.51207152,0,149.08707757,0
50,7621,0.003802977516170828,2019-12-02 07:13:53.399348,2.71493115,1,151.80200872,1
51,7361,0.0016516917074200995,2019-12-02 07:19:16.257364,3.2285801600000004,1,155.03058888,0
52,13616,0.0016213089828315454,2019-12-02 07:21:12.406368,1.1614900400000001,1,156.19207892,0
53,13622,0.0024805291282233768,2019-12-02 07:27:43.563605,3.91157237,1,160.10365129,1
54,25455,0.0008096296799752722,2019-12-02 07:33:00.069460,3.16505855,0,163.26870983999999,0
55,10581,0.0007435620266742698,2019-12-02 07:38:32.892094,3.32822634,0,166.59693617999997,1
56,8758,0.00016516094972067143,2019-12-02 07:41:27.136484,1.7424439,0,168.33938007999998,1
57,4745,0.002215426218190669,2019-12-02 07:46:05.602033,2.78465549,1,171.12403557,0
58,8529,0.0006622736094244738,2019-12-02 07:51:58.730015,3.53127982,0,174.65531539,0
59,18277,0.0009942335279131762,2019-12-02 07:56:12.806894,2.54076879,0,177.19608417999999,0
60,10723,0.0018585515289789236,2019-12-02 08:02:13.053089,3.60246195,1,180.79854612999998,0
61,14864,0.0028942617385994446,2019-12-02 08:09:13.744326,4.20691237,1,185.00545849999997,0
62,20809,0.0,2019-12-02 08:12:50.349463,2.16605137,0,187.17150986999997,0
63,17105,0.00013327114033192424,2019-12-02 08:19:21.441050,3.91091587,0,191.08242573999996,0
64,8119,0.0028946469281030114,2019-12-02 08:23:55.924287,2.7448323699999997,1,193.82725810999997,1
65,8124,0.001462912120460076,2019-12-02 08:25:14.552080,0.78627793,1,194.61353603999999,0
66,7205,0.0003991883223895776,2019-12-02 08:30:37.524176,3.2297209600000003,0,197.843257,1
67,5127,0.0026903611677086374,2019-12-02 08:38:26.338823,4.6881464699999995,1,202.53140347,1
68,8220,0.0014749631861697172,2019-12-02 08:44:54.309931,3.8797110800000003,1,206.41111454999998,1
69,5646,0.0010427615917605385,2019-12-02 08:47:47.149977,1.72840046,0,208.13951500999997,1
70,1700,0.00023157720722139923,2019-12-02 08:50:06.126840,1.38976863,0,209.52928363999996,1
71,5083,0.0004629935925023779,2019-12-02 08:58:49.112161,5.22985321,0,214.75913684999995,1
72,11400,6.612881896331466e-05,2019-12-02 09:03:06.397226,2.57285065,0,217.33198749999994,0
73,4807,0.000678072645904149,2019-12-02 09:08:59.308100,3.52910874,0,220.86109623999994,0
74,3948,0.00047965994684061157,2019-12-02 09:11:28.552357,1.4924425700000001,0,222.35353880999995,1
75,2708,0.0012559493983053118,2019-12-02 09:16:17.563638,2.8901128099999998,0,225.24365161999995,1
76,9424,0.000363402108427847,2019-12-02 09:21:43.795173,3.26231535,0,228.50596696999995,0
77,3980,0.002481267711422258,2019-12-02 09:27:43.624038,3.59828865,1,232.10425561999995,0
78,2700,8.281504919799275e-05,2019-12-02 09:34:31.094748,4.0747071,0,236.17896271999996,0
79,2700,0.0008782614303524221,2019-12-02 09:37:26.179566,1.7508481800000002,0,237.92981089999995,0
80,4150,0.0006297751248106224,2019-12-02 09:42:33.032688,3.0685312199999997,0,240.99834211999996,1
81,1800,0.0007287181508298846,2019-12-02 09:47:52.806201,3.19773513,0,244.19607724999997,1
82,2528,0.00016554372875386613,2019-12-02 09:54:04.166360,3.71360159,0,247.90967883999997,1
83,5637,0.0005629605248440901,2019-12-02 09:57:54.910290,2.3074393,0,250.21711813999997,0
84,2445,0.0021507875207018557,2019-12-02 10:01:14.974978,2.0006468799999997,1,252.21776501999997,1
