,v,diff,date,dt,event,time_elapsed,pos
0,12734,0.006466334780676905,2020-08-11 06:31:02.478984,3.25285961,1,0.0,0
1,10562,0.0003917727768033152,2020-08-11 06:35:41.693479,2.79214495,0,2.79214495,1
2,12524,0.004082701987905214,2020-08-11 06:42:12.879443,3.9118596400000003,1,6.70400459,1
3,13335,0.00242434856176337,2020-08-11 06:47:05.021503,2.9214206000000003,1,9.625425190000001,1
4,7989,0.002207649750591894,2020-08-11 06:53:09.048582,3.64027079,1,13.265695980000002,0
5,20253,0.0055405415012365865,2020-08-11 06:56:34.225769,2.05177187,1,15.317467850000002,0
6,16639,0.006492038933011239,2020-08-11 07:04:07.635871,4.53410102,1,19.85156887,0
7,12594,0.0026718659814389868,2020-08-11 07:05:31.154689,0.83518818,1,20.68675705,1
8,8051,0.0008307645697631277,2020-08-11 07:13:56.347641,5.05192952,0,25.73868657,1
9,7301,0.0026189451896273517,2020-08-11 07:18:38.734479,2.82386838,1,28.56255495,1
10,8905,0.0015767858620791603,2020-08-11 07:20:45.486622,1.26752143,0,29.830076379999998,1
11,5438,0.0028417529889469537,2020-08-11 07:25:31.754310,2.8626768800000004,1,32.692753259999996,0
12,13723,0.0020097874643382825,2020-08-11 07:34:35.664862,5.439105520000001,0,38.131858779999995,0
13,6031,0.00288234979883249,2020-08-11 07:36:42.610219,1.26945357,1,39.40131235,1
14,5181,0.0015686961254267717,2020-08-11 07:43:50.069949,4.2745973,0,43.675909649999994,1
15,21004,0.0016123061644646773,2020-08-11 07:49:10.728277,3.20658328,0,46.88249292999999,0
16,6846,0.0003925759575837861,2020-08-11 07:53:29.848557,2.5912027999999996,0,49.47369572999999,0
17,8262,0.0012644155943248197,2020-08-11 07:57:40.920247,2.5107169,0,51.98441262999999,1
18,4526,0.005518514015888051,2020-08-11 08:02:41.894490,3.00974243,1,54.99415505999999,1
19,10821,0.002380489773529732,2020-08-11 08:06:21.183653,2.19289163,1,57.18704668999999,1
20,14791,0.002202311156784767,2020-08-11 08:11:15.396821,2.94213168,0,60.12917836999999,1
21,37380,0.001338081563628409,2020-08-11 08:17:02.072537,3.4667571600000002,0,63.59593552999999,0
22,21972,0.0014674783590816894,2020-08-11 08:24:10.296995,4.28224458,0,67.87818010999999,1
23,9316,0.0005605260467982946,2020-08-11 08:25:13.041014,0.6274401900000001,0,68.50562029999999,1
24,14861,0.001164521060630418,2020-08-11 08:33:28.543626,4.95502612,0,73.46064641999999,0
25,5369,0.0003020431081624211,2020-08-11 08:39:49.578073,3.81034447,0,77.27099089,1
26,6582,0.0009988160932726908,2020-08-11 08:43:30.926838,2.21348765,0,79.48447854,0
27,5253,0.0003605348649276351,2020-08-11 08:47:20.665004,2.29738166,0,81.7818602,1
28,4837,0.0027757975864472844,2020-08-11 08:54:44.644017,4.4397901300000004,1,86.22165033,0
29,9096,0.00047607713348609505,2020-08-11 08:56:41.949016,1.17304999,0,87.39470032,1
30,9818,0.0011256387022817,2020-08-11 09:01:21.270001,2.79320985,0,90.18791017,0
31,3613,0.003761165720006929,2020-08-11 09:06:23.763065,3.02493064,1,93.21284080999999,1
32,9751,0.0014666442463946213,2020-08-11 09:12:10.779931,3.47016866,0,96.68300946999999,1
33,5565,4.309323221445876e-05,2020-08-11 09:19:55.904915,4.65124984,0,101.33425931,0
34,6460,0.002345878035637619,2020-08-11 09:22:37.078029,1.61173114,1,102.94599045,1
35,9105,0.0015058947859125846,2020-08-11 09:29:15.492463,3.9841443400000003,0,106.93013479,0
36,3802,0.00040913447097917945,2020-08-11 09:32:21.112656,1.85620193,0,108.78633672,0
37,6272,0.0006028766008111121,2020-08-11 09:36:17.363791,2.36251135,0,111.14884807,1
38,4561,0.0014626174852106469,2020-08-11 09:43:46.881555,4.49517764,0,115.64402571,1
39,10574,0.0005159736967893317,2020-08-11 09:46:21.169917,1.54288362,0,117.18690932999999,0
40,14289,0.0012911001965633996,2020-08-11 09:51:42.114983,3.20945066,0,120.39635999,0
41,6909,8.612522613182009e-05,2020-08-11 09:58:24.930229,4.02815246,0,124.42451245,1
42,6538,0.002479063968372368,2020-08-11 10:01:30.884565,1.8595433600000002,1,126.28405581,0
43,11477,0.000539449989885697,2020-08-11 10:09:55.907095,5.0502253,0,131.33428111,1
44,4269,0.0013815734863131977,2020-08-11 10:11:06.899997,0.70992902,0,132.04421013,0
45,9655,0.000777369937657249,2020-08-11 10:16:31.931760,3.25031763,0,135.29452776000002,1
46,10325,0.002888244275284475,2020-08-11 10:21:40.197810,3.0826605000000002,1,138.37718826000003,1
47,4929,0.00198207579540356,2020-08-11 10:29:52.016383,4.91818573,0,143.29537399000003,0
48,2753,0.0015971341318317801,2020-08-11 10:34:24.118613,2.7210223,0,146.01639629000002,0
49,3533,4.3201209640566695e-05,2020-08-11 10:39:18.003678,2.93885065,0,148.95524694000002,0
50,4781,0.00034555743076365085,2020-08-11 10:42:04.918155,1.66914477,0,150.62439171000003,1
51,3306,0.0017289824925265762,2020-08-11 10:48:34.354657,3.8943650200000004,0,154.51875673000004,0
52,7655,0.00030278781294112555,2020-08-11 10:50:45.036863,1.30682206,0,155.82557879000004,1
53,5185,0.0011238384584623575,2020-08-11 10:59:16.236918,5.11200055,0,160.93757934000004,1
54,2416,0.00017278617753584374,2020-08-11 11:00:53.216676,0.96979758,0,161.90737692000005,1
55,4532,0.0007340083661084876,2020-08-11 11:06:56.042525,3.62825849,0,165.53563541000005,1
56,5191,0.0023334208150477087,2020-08-11 11:14:16.827675,4.4078515,1,169.94348691000005,0
57,2643,0.00025960540125035536,2020-08-11 11:19:48.237550,3.31409875,0,173.25758566000005,0
58,7175,0.0010824151902184764,2020-08-11 11:21:16.701760,0.8846421,0,174.14222776000005,0
59,6142,0.0001732952088211702,2020-08-11 11:28:48.756052,4.52054292,0,178.66277068000005,0
60,7502,0.00017329520882108685,2020-08-11 11:33:10.370956,2.6161490400000003,0,181.27891972000006,1
61,6677,0.0005199757461813977,2020-08-11 11:36:40.677464,2.10306508,0,183.38198480000005,0
62,3817,0.001386001607877153,2020-08-11 11:41:27.015803,2.86338339,0,186.24536819000005,1
63,3284,0.00021638932852271068,2020-08-11 11:46:09.270609,2.82254806,0,189.06791625000005,1
64,7058,0.000735373667831572,2020-08-11 11:53:24.450070,4.35179461,0,193.41971086000007,1
65,4971,0.00025948190259328466,2020-08-11 11:57:55.642831,2.71192761,0,196.13163847000007,0
66,10677,0.0010386014435426552,2020-08-11 12:03:27.952873,3.3231004200000003,0,199.45473889000007,0
67,6771,0.0013431253508501405,2020-08-11 12:05:21.964382,1.14011509,0,200.59485398000007,0
