,v,diff,date,dt,event,time_elapsed,pos
0,500,0.005904042413796131,2019-10-24 06:34:33.650365,5.39623598,1,0.0,1
1,800,0.0014841710205759082,2019-10-24 06:38:47.195242,2.5354487700000004,0,2.5354487700000004,0
2,780,0.001986007295621095,2019-10-24 06:40:47.839580,1.20644338,1,3.7418921500000004,1
3,600,0.0006159251047316436,2019-10-24 06:49:20.317902,5.12478322,0,8.866675370000001,0
4,500,0.0025361297651355615,2019-10-24 06:51:34.909623,1.34591721,1,10.21259258,0
5,2700,0.0004574356239134634,2019-10-24 06:56:58.683091,3.23773468,0,13.450327260000002,1
6,3273,0.002284044663876153,2019-10-24 07:04:30.403083,4.5171999199999995,1,17.96752718,1
7,1800,0.0024154050708730377,2019-10-24 07:09:56.927316,3.26524233,1,21.23276951,1
8,1121,0.003374068493680773,2019-10-24 07:14:23.787956,2.6686064,1,23.90137591,0
9,900,0.0008674017298398809,2019-10-24 07:18:45.116712,2.61328756,0,26.51466347,1
10,1100,0.0005474452691466448,2019-10-24 07:20:24.184764,0.99068052,0,27.50534399,1
11,400,0.0003192047269403559,2019-10-24 07:29:18.319635,5.34134871,0,32.8466927,1
12,800,0.0010035581537451875,2019-10-24 07:32:24.002689,1.85683054,0,34.703523239999996,0
13,900,0.00031942321565712984,2019-10-24 07:39:38.868610,4.34865921,0,39.05218245,1
14,1200,0.0018688612226539587,2019-10-24 07:40:13.285411,0.34416800999999997,1,39.396350459999994,1
15,3165,0.000728896210121919,2019-10-24 07:47:47.577200,4.54291789,0,43.93926834999999,0
16,2591,0.0014117542249567309,2019-10-24 07:50:00.895293,1.3331809300000002,0,45.27244927999999,1
17,2700,0.0,2019-10-24 07:55:51.266910,3.50371617,0,48.776165449999986,0
18,1200,0.000227515756447406,2019-10-24 08:01:45.924616,3.54657706,0,52.32274250999998,1
19,700,4.5496940338660934e-05,2019-10-24 08:07:58.872371,3.72947755,0,56.05222005999998,1
20,1000,0.0004778211447127154,2019-10-24 08:11:03.596397,1.8472402600000002,0,57.89946031999998,0
21,500,0.0010702372621552013,2019-10-24 08:17:44.096647,4.0050025,0,61.90446281999998,0
22,1000,0.0002278579087945462,2019-10-24 08:21:41.401635,2.37304988,0,64.27751269999997,0
23,1400,0.0007289626273869598,2019-10-24 08:26:59.398857,3.1799722200000002,0,67.45748491999997,1
24,2031,0.0018655448477251702,2019-10-24 08:33:31.763646,3.92364789,1,71.38113280999997,1
25,1200,0.0006816477962694384,2019-10-24 08:35:10.654925,0.98891279,0,72.37004559999997,1
26,1000,0.0006357856708262173,2019-10-24 08:41:15.998166,3.6534324099999997,0,76.02347800999996,1
27,800,0.000839525830691258,2019-10-24 08:46:51.507241,3.35509075,0,79.37856875999996,1
28,2510,0.0012239903608886815,2019-10-24 08:51:47.835850,2.9632860899999995,0,82.34185484999996,1
29,1600,0.0008830622453406579,2019-10-24 08:56:19.773460,2.7193761,0,85.06123094999997,1
30,2300,4.526627889318011e-05,2019-10-24 09:01:30.423749,3.10650289,0,88.16773383999997,0
31,1500,0.0008604488450628812,2019-10-24 09:08:25.689363,4.15265614,0,92.32038997999997,0
32,900,0.00133742893593987,2019-10-24 09:10:19.310272,1.13620909,0,93.45659906999997,0
33,300,0.00036286939368073134,2019-10-24 09:18:54.010515,5.14700243,0,98.60360149999997,1
34,500,0.00038540450946920266,2019-10-24 09:23:48.668933,2.94658418,0,101.55018567999997,1
35,700,0.0015853965678884108,2019-10-24 09:26:48.679972,1.8001103900000002,0,103.35029606999997,1
36,300,0.00018102824089977137,2019-10-24 09:34:18.501114,4.4982114200000005,0,107.84850748999997,1
37,1023,0.001401858822745773,2019-10-24 09:39:15.815528,2.97314414,0,110.82165162999998,1
38,1800,0.0012419416528980818,2019-10-24 09:42:58.624789,2.22809261,0,113.04974423999998,1
39,1500,0.00015797966608869534,2019-10-24 09:48:29.663713,3.31038924,0,116.36013347999999,0
40,500,0.00018057875540010256,2019-10-24 09:51:52.435472,2.02771759,0,118.38785106999998,0
