,v,diff,date,dt,event,time_elapsed,pos
0,800,0.004070377832743126,2020-04-24 06:31:46.267646,2.4010086999999998,1,0.0,0
1,500,0.0017235909378792867,2020-04-24 06:39:36.589392,4.70321746,0,4.70321746,0
2,3600,0.0038206177649329704,2020-04-24 06:41:21.656476,1.05067084,1,5.7538883,0
3,6156,0.0025486997230137975,2020-04-24 06:47:50.176350,3.8851987400000003,1,9.63908704,1
4,3921,0.0023664341615869918,2020-04-24 06:50:55.800338,1.85623988,1,11.49532692,0
5,1570,0.002911740000783499,2020-04-24 06:57:37.993429,4.02193091,1,15.51725783,1
6,3310,0.00027261574979147563,2020-04-24 07:02:36.352335,2.98358906,0,18.50084689,0
7,1300,0.0010446236898622092,2020-04-24 07:05:53.778489,1.9742615399999999,0,20.47510843,1
8,1500,0.0005903053866499686,2020-04-24 07:14:23.803069,5.1002458,0,25.57535423,0
9,2952,0.0014524330803148008,2020-04-24 07:17:49.036844,2.05233775,0,27.627691979999998,1
10,5510,0.002717639139768528,2020-04-24 07:20:00.374925,1.31338081,1,28.94107279,1
11,2100,0.0016296970560315664,2020-04-24 07:29:00.528037,5.40153112,0,34.34260391,0
12,600,0.00099723502212994,2020-04-24 07:32:33.460559,2.12932522,0,36.47192913,0
13,3800,9.0698834582203e-05,2020-04-24 07:37:10.558928,2.77098369,0,39.24291282,1
14,3587,0.0001814058961891827,2020-04-24 07:43:55.806536,4.05247608,0,43.2953889,0
15,2026,0.002361276185679709,2020-04-24 07:48:02.809242,2.47002706,1,45.76541596,0
16,3900,0.00027273967167570136,2020-04-24 07:52:17.695560,2.5488631799999997,0,48.31427914,1
17,2003,0.0009085953741553047,2020-04-24 07:55:25.197593,1.8750203300000001,0,50.189299469999995,1
18,2696,0.0008170305933144145,2020-04-24 08:04:25.788132,5.40590539,0,55.595204859999996,1
19,1306,0.00036304229841473064,2020-04-24 08:09:46.480120,3.2069198799999996,0,58.80212474,0
20,885,0.0007713074042240486,2020-04-24 08:13:52.638032,2.46157912,0,61.26370386,1
21,1488,0.0009528779902878328,2020-04-24 08:19:53.994010,3.61355978,0,64.87726364,0
22,3842,0.0014516424251213907,2020-04-24 08:20:31.259273,0.37265263,0,65.24991627,1
23,1000,0.0006348342842326109,2020-04-24 08:28:20.821952,4.69562679,0,69.94554306,0
24,1498,0.0001814552717736197,2020-04-24 08:34:42.924882,3.8210293,0,73.76657236000001,0
25,700,0.00045378228305113555,2020-04-24 08:35:21.977397,0.39052515,0,74.15709751000001,0
26,2201,0.0007713074042240486,2020-04-24 08:40:01.743787,2.7976639,0,76.95476141000002,1
27,620,0.0004990133249377105,2020-04-24 08:46:11.250245,3.69506458,0,80.64982599000001,0
28,2223,0.0004538646653502234,2020-04-24 08:54:39.861495,5.0861125,0,85.73593849000001,0
29,1402,0.0002269580818167539,2020-04-24 08:59:24.540721,2.8467922600000004,0,88.58273075000001,1
30,500,0.00167789078659317,2020-04-24 09:02:10.670440,1.66129719,0,90.24402794000001,1
31,1201,0.0006341441531531152,2020-04-24 09:08:27.224702,3.7655426199999997,0,94.00957056000001,1
32,1923,0.002312034939746431,2020-04-24 09:10:14.146556,1.06921854,1,95.07878910000001,0
33,2119,0.0001361686677999984,2020-04-24 09:18:28.208613,4.94062057,0,100.01940967000002,0
34,900,0.0018140594543932759,2020-04-24 09:22:39.766789,2.51558176,0,102.53499143000002,1
35,900,0.0007247033562942671,2020-04-24 09:27:09.674276,2.69907487,0,105.23406630000002,1
36,1300,0.001722028793691088,2020-04-24 09:31:08.933109,2.39258833,0,107.62665463000002,0
37,1700,0.0005441189941083615,2020-04-24 09:38:05.915967,4.16982858,0,111.79648321000002,1
38,1100,0.0005441189941084002,2020-04-24 09:44:35.399341,3.89483374,0,115.69131695000002,0
39,1700,0.0007259528449490165,2020-04-24 09:48:19.182102,2.23782761,0,117.92914456000001,0
40,913,0.003000138620144903,2020-04-24 09:51:32.677199,1.9349509699999998,1,119.86409553000001,0
41,900,0.0005464481010294066,2020-04-24 09:59:32.140478,4.79463279,0,124.65872832000001,0
