,v,diff,date,dt,event,time_elapsed,pos
0,1500,0.001368093243712121,2019-10-07 06:34:20.649506,2.70856623,0,0.0,1
1,3706,0.0033475381229991627,2019-10-07 06:38:55.552219,2.74902713,1,2.74902713,0
2,4100,0.0010674800861174936,2019-10-07 06:43:18.060948,2.62508729,0,5.37411442,0
3,1300,0.003199027787205236,2019-10-07 06:47:36.870090,2.58809142,1,7.962205839999999,1
4,2883,0.0006081800400325825,2019-10-07 06:50:51.717702,1.94847612,0,9.91068196,1
5,3100,0.00045589241728715216,2019-10-07 06:58:16.238046,4.44520344,0,14.3558854,1
6,4324,0.000607902754282895,2019-10-07 07:01:07.588492,1.71350446,0,16.06938986,0
7,4889,0.004398945280883321,2019-10-07 07:05:37.558176,2.6996968399999997,1,18.769086700000003,1
8,6207,0.0018179068784706291,2019-10-07 07:12:27.414540,4.09856364,1,22.867650340000004,0
9,4528,0.0013637398886036706,2019-10-07 07:18:01.850510,3.3443597,0,26.212010040000003,1
10,4127,0.0004541669898668788,2019-10-07 07:24:56.043879,4.14193369,0,30.353943730000005,1
11,3202,0.0,2019-10-07 07:25:49.064685,0.53020806,0,30.884151790000004,0
12,5660,0.0006052353036924711,2019-10-07 07:33:33.692033,4.64627348,0,35.53042527,1
13,3819,0.0016652793190612089,2019-10-07 07:36:30.347723,1.7665568999999999,0,37.29698217,0
14,7221,0.0012113871862970882,2019-10-07 07:42:02.214343,3.3186662,0,40.61564837,1
15,4999,0.0012113871862970932,2019-10-07 07:45:35.348131,2.1313378800000002,0,42.746986250000006,0
16,4461,0.0012113871862970882,2019-10-07 07:52:45.158495,4.29810364,0,47.04508989000001,1
17,7027,0.0003026176449178964,2019-10-07 07:57:04.819592,2.59661097,0,49.64170086000001,1
18,2419,0.0015117160853221608,2019-10-07 08:01:50.918074,2.86098482,0,52.502685680000006,1
19,3883,0.0007550019233690852,2019-10-07 08:08:36.673135,4.05755061,0,56.560236290000006,1
20,2991,0.0019641919135081243,2019-10-07 08:14:37.308987,3.60635852,1,60.16659481000001,0
21,3919,0.00015125160733673966,2019-10-07 08:16:14.723981,0.9741499399999999,0,61.14074475,0
22,4928,0.0007566013828431588,2019-10-07 08:22:25.096951,3.7037297000000002,0,64.84447445,0
23,3800,0.0010602045673134483,2019-10-07 08:25:49.122010,2.04025059,0,66.88472504,0
24,4595,0.001514234087031403,2019-10-07 08:31:01.373817,3.12251807,0,70.00724311,1
25,3306,0.00015132026963885848,2019-10-07 08:39:19.004684,4.97630867,0,74.98355178,0
26,2105,0.0,2019-10-07 08:40:33.565197,0.74560513,0,75.72915691,0
27,3913,0.0006055101607952051,2019-10-07 08:46:03.379019,3.2981382200000002,0,79.02729513,0
28,3153,0.0007568304304341686,2019-10-07 08:50:14.747365,2.51368346,0,81.54097859,1
29,3259,0.00045382347046209334,2019-10-07 08:59:06.511002,5.31763637,0,86.85861496,1
30,3436,0.00196805755749336,2019-10-07 09:01:08.063473,1.21552471,1,88.07413967,0
31,2100,0.0010613297941139454,2019-10-07 09:06:45.216296,3.37152823,0,91.44566789999999,0
32,2038,0.0009097801992191743,2019-10-07 09:12:40.334422,3.5511812600000003,0,94.99684916,1
33,2771,0.0,2019-10-07 09:19:42.057546,4.21723124,0,99.2140804,0
34,2750,7.578341104774802e-05,2019-10-07 09:22:52.776465,1.90718919,0,101.12126959,0
35,1642,0.0022002209096024235,2019-10-07 09:25:24.192053,1.5141558800000001,1,102.63542547,0
36,1908,0.0003038590117575275,2019-10-07 09:34:34.227710,5.50035657,0,108.13578204,0
37,1700,0.0006076257212621949,2019-10-07 09:36:53.163810,1.389361,0,109.52514303999999,1
38,1509,0.00015184875892827217,2019-10-07 09:42:50.075034,3.56911224,0,113.09425527999998,1
39,2533,0.0009106086529980134,2019-10-07 09:47:25.792159,2.7571712500000003,0,115.85142652999998,1
40,2017,0.0013662241214310287,2019-10-07 09:54:33.743439,4.2795128,0,120.13093932999999,0
41,3405,0.0003038590117575275,2019-10-07 09:59:20.259391,2.86515952,0,122.99609885,0
42,2700,0.0003038590117574189,2019-10-07 10:01:14.156864,1.1389747300000002,0,124.13507358,1
43,3801,0.0022811963356123895,2019-10-07 10:09:59.037814,5.2488095,1,129.38388308,0
44,2445,0.0015236937276707375,2019-10-07 10:14:04.365433,2.45327619,0,131.83715927,0
45,4015,0.00015249714097421695,2019-10-07 10:19:45.012684,3.40647251,0,135.24363178,0
46,2444,0.001523925927353451,2019-10-07 10:24:13.635163,2.68622479,0,137.92985657,1
47,8133,0.00030450670150022007,2019-10-07 10:26:20.247660,1.2661249700000001,0,139.19598154,1
48,5645,0.002584570043836617,2019-10-07 10:32:20.651371,3.6040371099999997,1,142.80001865,1
49,2500,0.001971938447112022,2019-10-07 10:36:47.182018,2.66530647,1,145.46532512,1
50,2279,0.00015152663109526586,2019-10-07 10:44:31.357436,4.6417541799999995,0,150.10707929999998,1
51,2242,0.00015150367425397109,2019-10-07 10:47:55.340633,2.03983197,0,152.14691126999998,1
52,4344,0.00015148072436730906,2019-10-07 10:51:12.316202,1.9697556900000002,0,154.11666695999998,1
53,3169,0.0004543045432874426,2019-10-07 10:59:04.239954,4.71923752,0,158.83590447999998,1
54,9033,0.0015151518050106525,2019-10-07 11:00:00.646013,0.56406059,0,159.39996506999998,0
55,4637,0.0018212176835382921,2019-10-07 11:08:41.400025,5.20754012,1,164.60750518999998,0
56,3351,0.0010639107318607894,2019-10-07 11:14:53.077590,3.71677565,0,168.32428083999997,0
57,3265,0.00045610034998195143,2019-10-07 11:19:26.299045,2.73221455,0,171.05649538999998,1
58,1775,0.0,2019-10-07 11:22:31.523437,1.85224392,0,172.90873931,0
59,6028,0.00045589241728715216,2019-10-07 11:27:30.503942,2.9898050499999997,0,175.89854436,1
60,4705,0.0010640724573198494,2019-10-07 11:34:31.161182,4.2065724,0,180.10511676,0
61,4615,0.0,2019-10-07 11:39:33.403979,3.02242797,0,183.12754472999998,0
62,4747,0.0,2019-10-07 11:42:59.963245,2.06559266,0,185.19313738999998,0
63,3701,0.0006085501480975403,2019-10-07 11:46:38.324048,2.1836080300000003,0,187.37674541999996,0
64,4613,0.0015229975529902913,2019-10-07 11:50:48.114957,2.49790909,0,189.87465450999997,0
65,4493,0.0015229975529903374,2019-10-07 11:55:03.242885,2.55127928,0,192.42593378999996,1
66,2234,0.0006085501480975038,2019-10-07 12:04:26.997242,5.63754357,0,198.06347735999995,1
67,6356,0.00030413625538560447,2019-10-07 12:05:21.708228,0.54710986,0,198.61058721999996,1
68,3598,0.0006079951547682913,2019-10-07 12:13:13.104532,4.713963039999999,0,203.32455025999997,1
69,7563,0.00015194104716604332,2019-10-07 12:17:13.662111,2.40557579,0,205.73012604999997,1
70,7208,0.000607902754282895,2019-10-07 12:24:47.395508,4.537333970000001,0,210.26746001999996,0
71,12153,0.001974334303717608,2019-10-07 12:25:47.784281,0.60388773,1,210.87134774999996,1
72,6024,0.0013664315494347026,2019-10-07 12:32:39.058073,4.11273792,0,214.98408566999996,0
73,9037,0.0004556846740961436,2019-10-07 12:39:26.414633,4.0735656,0,219.05765126999995,1
74,11606,0.0009115770913833285,2019-10-07 12:43:57.294612,2.70879979,0,221.76645105999995,0
75,17168,0.00030404378464698924,2019-10-07 12:49:52.050055,3.54755443,0,225.31400548999994,0
76,64428,0.0022832797803039946,2019-10-07 12:54:22.817669,2.70767614,1,228.02168162999993,0
77,214793,0.0003048315829124065,2019-10-07 12:58:17.107955,2.34290286,0,230.36458448999994,0
78,5240,0.003549660336470868,2019-10-08 06:34:20.047322,5.53272822,1,235.89731270999994,1
79,3840,0.005561577752725666,2019-10-08 06:38:47.088012,2.6704068999999997,1,238.56771960999993,0
80,8971,0.004658393517322248,2019-10-08 06:44:35.172962,3.4808494999999997,1,242.04856910999993,0
81,11028,0.002025396033976901,2019-10-08 06:48:18.487368,2.23314406,1,244.28171316999993,0
82,8280,0.0026547997165005098,2019-10-08 06:50:42.858133,1.4437076500000001,1,245.72542081999993,0
83,17916,0.003916965446734011,2019-10-08 06:58:51.206415,4.88348282,1,250.60890363999994,0
84,15228,0.0033809050563630154,2019-10-08 07:00:17.841629,0.86635214,1,251.47525577999994,0
85,7688,0.0032343340623562184,2019-10-08 07:08:59.199303,5.21357674,1,256.68883251999995,0
86,4299,0.0028404626956509923,2019-10-08 07:12:04.635231,1.85435928,1,258.54319179999993,1
87,6488,0.0015745555134657988,2019-10-08 07:15:38.271970,2.13636739,0,260.6795591899999,1
88,5650,0.0014169883501365123,2019-10-08 07:23:51.067810,4.9279584,0,265.60751758999993,0
89,7327,0.0017346058122083075,2019-10-08 07:25:09.467857,0.7840004700000001,1,266.39151805999995,0
90,14140,0.0003156067566042808,2019-10-08 07:31:38.581134,3.89113277,0,270.28265082999997,1
91,5797,0.004250970740640788,2019-10-08 07:35:31.304829,2.32723695,1,272.60988777999995,1
92,9683,0.0009430997240989853,2019-10-08 07:40:52.492635,3.21187806,0,275.82176583999996,0
93,2688,0.0012572687496175507,2019-10-08 07:48:03.151801,4.3065916600000005,0,280.12835749999994,1
94,8090,0.0028230884496144096,2019-10-08 07:50:52.603878,1.69452077,1,281.82287826999993,1
95,4737,0.002502738675363812,2019-10-08 07:59:05.865168,4.9326129,1,286.7554911699999,1
96,4895,0.0026523145277988305,2019-10-08 08:01:05.529397,1.19664229,1,287.9521334599999,1
97,2714,0.0007793625209394688,2019-10-08 08:07:31.414736,3.8588533899999997,0,291.8109868499999,0
98,5894,0.000155921104237337,2019-10-08 08:10:31.855512,1.80440776,0,293.6153946099999,1
99,5996,0.0014021970046922834,2019-10-08 08:17:45.567511,4.33711999,0,297.9525145999999,1
100,2856,0.000934579507277215,2019-10-08 08:24:29.245345,4.036778340000001,0,301.9892929399999,0
101,17267,0.0012474662462884636,2019-10-08 08:25:23.464480,0.54219135,0,302.5314842899999,0
102,3900,0.0003120124830305126,2019-10-08 08:31:33.135654,3.69671174,0,306.22819602999994,1
103,4144,0.0028037401544295714,2019-10-08 08:36:15.109874,2.8197422,1,309.04793822999994,1
104,6515,0.000155557284283578,2019-10-08 08:42:07.459642,3.5234976799999997,0,312.57143590999993,0
105,4807,0.00031118718159941914,2019-10-08 08:49:08.711713,4.21252071,0,316.7839566199999,0
106,3807,0.002719610052642147,2019-10-08 08:51:18.803168,1.30091455,1,318.08487116999993,1
107,2900,7.760058980331117e-05,2019-10-08 08:55:21.902819,2.43099651,0,320.51586767999993,0
108,5555,0.001397841339670876,2019-10-08 09:02:01.651188,3.99748369,0,324.51335136999995,0
109,4350,0.0009321112994276711,2019-10-08 09:07:14.174224,3.1252303599999998,0,327.63858172999994,1
110,3484,0.0008536727847601113,2019-10-08 09:10:07.395652,1.73221428,0,329.37079600999994,1
111,12313,0.0002326934274605722,2019-10-08 09:17:03.996346,4.16600694,0,333.5368029499999,1
112,4823,0.00046522447919815043,2019-10-08 09:21:04.563376,2.4056702999999997,0,335.9424732499999,1
113,5745,0.0027945989310160227,2019-10-08 09:26:33.739407,3.2917603100000004,1,339.2342335599999,0
114,4085,0.002490661312451808,2019-10-08 09:31:36.949324,3.0320991700000004,1,342.2663327299999,0
115,4104,0.0011682699253140224,2019-10-08 09:38:20.116296,4.03166972,0,346.2980024499999,1
116,8721,0.0016332883273073608,2019-10-08 09:44:47.572864,3.87456568,1,350.1725681299999,1
117,3231,0.0015530364978932419,2019-10-08 09:47:07.366105,1.39793241,0,351.5705005399999,1
118,3100,0.002019418162001803,2019-10-08 09:50:59.214453,2.31848348,1,353.8889840199999,0
119,2059,0.0004665992774599241,2019-10-08 09:55:43.821021,2.8460656799999997,0,356.7350496999999,0
120,5640,0.0010895790633549964,2019-10-08 10:04:35.732973,5.31911952,0,362.0541692199999,0
121,5591,0.0006227619693722941,2019-10-08 10:07:15.592446,1.59859473,0,363.6527639499999,1
122,4162,0.00031133250562801406,2019-10-08 10:13:13.732981,3.58140535,0,367.2341692999999,0
123,4813,0.0015556941532077224,2019-10-08 10:16:20.111289,1.8637830800000001,0,369.0979523799999,1
124,6001,0.0016308783174454596,2019-10-08 10:23:00.098186,3.99986897,0,373.09782134999995,1
125,5642,0.00038791264693707755,2019-10-08 10:25:47.354635,1.67256449,0,374.77038583999996,1
126,6926,0.00031022181108114556,2019-10-08 10:32:33.225435,4.058707999999999,0,378.82909384,1
127,8478,0.0,2019-10-08 10:35:11.689004,1.58463569,0,380.41372953,0
128,5171,0.0017074121338483954,2019-10-08 10:44:45.975046,5.7428604199999995,1,386.15658995,0
129,3210,0.0003106554855675379,2019-10-08 10:45:32.092806,0.46117759999999997,0,386.61776755,1
130,9016,0.0009322561271831723,2019-10-08 10:50:13.194593,2.81101787,0,389.42878542,0
131,20590,0.0012443616475797308,2019-10-08 10:58:16.867574,4.83672981,0,394.26551523,0
132,11699,0.0006227619693723076,2019-10-08 11:02:00.906087,2.24038513,0,396.50590036,0
133,19872,0.0013229059164454981,2019-10-08 11:07:16.903598,3.1599751099999995,0,399.66587547,1
134,36706,7.776956880690518e-05,2019-10-08 11:13:44.870732,3.87967134,0,403.54554681,0
135,12380,0.0014008874576798506,2019-10-08 11:17:10.062962,2.0519222999999998,0,405.59746911,0
136,11049,0.002026975044985466,2019-10-08 11:21:56.628739,2.8656577700000003,1,408.46312688,0
137,14045,0.0007800920904221641,2019-10-08 11:26:58.366339,3.017376,0,411.48050288,1
138,15780,0.0023366316418424343,2019-10-08 11:30:55.846709,2.3748036999999997,1,413.85530658,1
139,6627,0.0007776654875160053,2019-10-08 11:39:43.394857,5.27548148,0,419.13078806,1
140,4668,0.002484473327662187,2019-10-08 11:44:57.397274,3.14002417,1,422.27081223,1
141,6593,0.003096936510533191,2019-10-08 11:49:01.654276,2.44257002,1,424.71338225,1
142,14929,0.002166848085090314,2019-10-08 11:52:27.879639,2.06225363,1,426.77563588,0
143,3017,0.0021715535135077954,2019-10-08 11:55:30.124675,1.82245036,1,428.59808624,0
144,2500,0.0032661977866212926,2019-10-08 12:03:04.041281,4.53916606,1,433.1372523,0
145,8309,0.00031162356126276735,2019-10-08 12:09:08.466294,3.6442501299999996,0,436.78150243,0
146,3000,0.001403509002320198,2019-10-08 12:12:59.810377,2.3134408300000002,0,439.09494326,0
147,4834,0.0015593329216070896,2019-10-08 12:18:12.944357,3.1313398,0,442.22628305999996,1
148,4110,0.00015582391928696895,2019-10-08 12:20:21.110282,1.28165925,0,443.50794231,0
149,4000,0.0006231500435329899,2019-10-08 12:28:23.735756,4.8262547399999995,0,448.33419705,1
150,10900,0.0012466886451854623,2019-10-08 12:30:20.439085,1.16703329,0,449.50123034,0
151,5208,0.0031235383821359743,2019-10-08 12:39:37.430819,5.56991734,1,455.07114768,0
152,10740,0.001408781637082084,2019-10-08 12:44:50.069317,3.12638498,0,458.19753266000004,0
153,23447,0.0010970928143730994,2019-10-08 12:47:00.307224,1.30237907,0,459.49991173,0
154,64802,0.0004703300235639416,2019-10-08 12:54:28.649798,4.48342574,0,463.98333747,1
155,149269,0.0025109868811580022,2019-10-08 12:56:44.094611,1.3544481300000002,1,465.33778559999996,0
156,4248,0.00015526744849128315,2019-10-09 06:30:03.612706,0.33494704,0,465.67273263999994,0
157,3500,0.004956639639928196,2019-10-09 06:36:18.758727,3.7514602100000003,1,469.42419284999994,1
158,8227,0.0013896396893884554,2019-10-09 06:42:34.759713,3.7600098600000003,0,473.18420270999997,1
159,1400,0.0018498540807707652,2019-10-09 06:45:20.775958,1.66016245,1,474.84436515999994,1
