,v,diff,date,dt,event,time_elapsed,pos
0,12175,0.014584973000798931,2020-04-23 06:34:35.150829,5.15326462,1,0.0,1
1,27788,0.004502821866941116,2020-04-23 06:38:23.368533,2.28217704,1,2.28217704,1
2,12537,0.0024305892119427888,2020-04-23 06:41:22.898065,1.79529532,0,4.07747236,1
3,12767,0.0009341429917969075,2020-04-23 06:47:14.183911,3.51285846,0,7.59033082,0
4,27327,0.003932957593270021,2020-04-23 06:54:06.412475,4.12228564,1,11.71261646,0
5,15302,0.004136899468887254,2020-04-23 06:55:48.186911,1.01774436,1,12.73036082,0
6,12762,0.003198196687107394,2020-04-23 07:02:55.463754,4.27276843,1,17.00312925,1
7,12574,0.0009387027817800393,2020-04-23 07:08:28.596155,3.3313240100000003,0,20.33445326,1
8,10022,0.0,2020-04-23 07:13:14.051524,2.8545536900000004,0,23.18900695,0
9,42818,0.0031850144020821197,2020-04-23 07:19:48.248976,3.94197452,1,27.13098147,1
10,13500,0.0011229647446237823,2020-04-23 07:21:00.288208,0.72039232,0,27.851373789999997,0
11,13555,0.0005619556202956558,2020-04-23 07:29:52.567995,5.3227978700000005,0,33.17417166,0
12,14500,0.0013107388825367961,2020-04-23 07:33:57.981590,2.45413595,0,35.62830761,1
13,17486,0.0013090230948230655,2020-04-23 07:35:26.033885,0.88052295,0,36.50883056,1
14,5213,0.0016805157535432057,2020-04-23 07:44:46.807231,5.6077334599999995,0,42.11656402,1
15,27080,0.0007465472537845817,2020-04-23 07:47:55.083866,1.88276635,0,43.999330369999996,0
16,6964,0.002051665365765716,2020-04-23 07:52:07.565073,2.5248120700000003,0,46.52414244,1
17,12354,0.002238389294979779,2020-04-23 07:58:21.716536,3.7415146299999997,0,50.265657069999996,0
18,13702,0.005054770661623948,2020-04-23 08:02:10.642902,2.28926366,1,52.55492073,0
19,10995,0.0024429214441767833,2020-04-23 08:08:48.187734,3.97544832,0,56.53036905,0
20,6919,0.0005642810269168818,2020-04-23 08:13:33.444876,2.85257142,0,59.382940469999994,1
21,5334,0.0018786404172599306,2020-04-23 08:16:04.831974,1.51387098,0,60.896811449999994,1
22,8842,0.0013129515156286534,2020-04-23 08:21:46.127201,3.41295227,0,64.30976371999999,1
23,10697,0.0014984082219175361,2020-04-23 08:29:23.578417,4.57451216,0,68.88427587999999,1
24,5435,0.0024360547978811158,2020-04-23 08:32:26.726089,1.83147672,0,70.71575259999999,0
25,9169,0.001314183987132827,2020-04-23 08:36:14.478356,2.2775226699999997,0,72.99327526999998,0
26,7700,0.0018768774278448029,2020-04-23 08:44:27.657912,4.93179556,0,77.92507082999998,1
27,10792,0.0011257036836029497,2020-04-23 08:49:42.137149,3.1447923700000002,0,81.06986319999999,0
28,12578,0.0005633274019969031,2020-04-23 08:54:12.347599,2.7021045,0,83.77196769999999,0
29,7200,0.0007510327052227507,2020-04-23 08:58:47.727259,2.7537966,0,86.52576429999999,1
30,5079,0.0005629046025359818,2020-04-23 09:03:26.375468,2.7864820900000002,0,89.31224639,1
31,6712,0.001686815131479348,2020-04-23 09:09:58.346061,3.91970593,0,93.23195232,1
32,3770,0.0008430518976210056,2020-04-23 09:12:54.158320,1.7581225900000002,0,94.99007491,0
33,4598,0.00046844990784997316,2020-04-23 09:17:51.772354,2.97614034,0,97.96621525,1
34,4800,0.001871608257364271,2020-04-23 09:23:52.425773,3.6065341899999996,0,101.57274944000001,1
35,5701,0.0005608000894707812,2020-04-23 09:29:58.463023,3.6603725,0,105.23312194,1
36,9430,0.00168334464139838,2020-04-23 09:30:32.581629,0.34118606,0,105.574308,0
37,26463,0.0009355412788252508,2020-04-23 09:37:41.030290,4.28448661,0,109.85879461,1
38,56791,0.008640173960925477,2020-04-23 09:44:43.467336,4.22437046,1,114.08316507,0
39,24787,0.000754290060277428,2020-04-23 09:45:44.139527,0.60672191,0,114.68988698000001,1
40,12003,0.002359048039063332,2020-04-23 09:51:44.050312,3.5991078499999998,0,118.28899483000001,0
41,4401,0.001981974128109866,2020-04-23 09:55:11.989963,2.07939651,0,120.36839134,1
