,v,diff,date,dt,event,time_elapsed,pos
0,8023,0.0022171974849533416,2020-01-08 06:33:51.051197,2.90736133,1,0.0,1
1,2800,0.00035442141076293246,2020-01-08 06:36:45.519580,1.7446838299999998,0,1.7446838299999998,0
2,4505,0.0009743567802167271,2020-01-08 06:41:11.128075,2.65608495,0,4.40076878,1
3,4962,0.0003542017215815359,2020-01-08 06:46:41.551281,3.30423206,0,7.70500084,0
4,9127,0.0008852691796285615,2020-01-08 06:54:25.612335,4.64061054,0,12.345611380000001,1
5,7155,0.0015054242382638828,2020-01-08 06:56:18.587241,1.12974906,1,13.475360440000001,0
6,8596,0.00017722640719845963,2020-01-08 07:02:50.796454,3.92209213,0,17.397452570000002,1
7,9291,0.0007090941619579783,2020-01-08 07:05:32.873168,1.62076714,0,19.018219710000004,0
8,8055,0.0006204848845084816,2020-01-08 07:10:20.932400,2.88059232,0,21.898812030000002,1
9,3036,0.0007534960354728287,2020-01-08 07:16:52.824122,3.91891722,0,25.817729250000003,0
10,4475,0.00022167542375361237,2020-01-08 07:21:52.298413,2.99474291,0,28.812472160000002,1
11,2663,0.000709534397838302,2020-01-08 07:26:15.305149,2.63006736,0,31.442539520000004,0
12,2814,8.871933643757001e-05,2020-01-08 07:31:53.269002,3.37963853,0,34.822178050000005,1
13,6150,0.0001774465446941125,2020-01-08 07:39:20.092197,4.46823195,0,39.29041000000001,0
14,9369,0.00017747803755875438,2020-01-08 07:43:01.620503,2.21528306,0,41.505693060000006,0
15,27752,8.875083209732849e-05,2020-01-08 07:48:01.983472,3.0036296900000004,0,44.50932275000001,0
16,24301,0.0003549560779126458,2020-01-08 07:51:41.410733,2.19427261,0,46.70359536000001,1
17,15926,0.00035483012880056016,2020-01-08 07:55:45.261001,2.43850268,0,49.14209804000001,1
18,35546,0.00017739932634774875,2020-01-08 08:02:35.280721,4.1001972,0,53.242295240000004,0
19,25379,0.0035420208819355254,2020-01-08 08:09:44.802976,4.29522255,1,57.53751779,1
20,9418,0.0007069011516425078,2020-01-08 08:10:25.184867,0.40381891000000003,0,57.9413367,1
21,6400,0.0002649591536808939,2020-01-08 08:15:12.611065,2.87426198,0,60.81559868,1
22,7638,0.00132374374004961,2020-01-08 08:20:30.016267,3.1740520199999995,1,63.9896507,1
23,1212,0.0005292872388913375,2020-01-08 08:26:36.047917,3.6603165,0,67.64996719999999,0
24,8327,0.0014989201766004,2020-01-08 08:30:27.586883,2.3153896599999997,1,69.96535685999999,1
25,6892,0.0004404316301100455,2020-01-08 08:38:07.845956,4.60259073,0,74.56794758999999,1
26,2712,0.0,2020-01-08 08:41:43.681843,2.1583588700000003,0,76.72630645999999,0
27,6255,0.0001761183519875268,2020-01-08 08:48:50.278216,4.26596373,0,80.99227018999999,1
28,2958,8.805529878442011e-05,2020-01-08 08:53:19.259766,2.6898155000000004,0,83.68208568999998,0
29,6654,0.000440392837522387,2020-01-08 08:58:07.222204,2.87962438,0,86.56171006999998,0
30,2309,0.00017618040919429827,2020-01-08 09:04:52.501480,4.05279276,0,90.61450282999998,1
31,2910,0.00026428225498488977,2020-01-08 09:07:11.008857,1.38507377,0,91.99957659999998,0
32,2542,0.0001761959303298283,2020-01-08 09:13:27.279519,3.7627066200000003,0,95.76228321999999,1
33,1500,0.0004405480488891197,2020-01-08 09:15:19.769994,1.12490475,0,96.88718796999999,0
34,3303,8.812513775271077e-05,2020-01-08 09:23:55.288234,5.1551824,0,102.04237036999999,1
