,v,diff,date,dt,event,time_elapsed,pos
0,17663,0.009113277232865534,2019-10-28 06:30:43.477577,0.77280479,1,0.0,1
1,16666,0.00034885749525265686,2019-10-28 06:35:06.442569,2.62964992,0,2.62964992,1
2,18183,0.005947192620673649,2019-10-28 06:44:22.280151,5.55837582,1,8.18802574,0
3,17785,0.007341406858367855,2019-10-28 06:46:26.780315,1.24500164,1,9.43302738,1
4,13912,0.004888277890290883,2019-10-28 06:53:46.796601,4.40016286,1,13.83319024,0
5,21325,0.0006997900915387318,2019-10-28 06:56:22.830085,1.56033484,0,15.39352508,1
6,30736,0.003152919059615642,2019-10-28 07:02:16.094601,3.53264516,1,18.92617024,0
7,34260,0.0021030501967786684,2019-10-28 07:05:50.621240,2.1452663899999997,0,21.07143663,1
8,12217,0.0028050509276086096,2019-10-28 07:10:02.170576,2.5154933600000002,1,23.58692999,0
9,8996,0.0014054816087348096,2019-10-28 07:17:58.543511,4.76372935,0,28.35065934,0
10,7182,0.0014054816087349464,2019-10-28 07:20:53.772174,1.7522866300000002,0,30.10294597,1
11,14642,0.0010528163808055475,2019-10-28 07:26:59.868364,3.6609618999999998,0,33.76390787,1
12,12750,0.0,2019-10-28 07:32:31.248214,3.3137985,0,37.077706369999994,0
13,5282,0.004570231192684132,2019-10-28 07:35:20.814591,1.69566377,1,38.77337014,0
14,6984,0.0012325030171881357,2019-10-28 07:41:57.121049,3.96306458,0,42.73643472,1
15,17342,0.002284911794690339,2019-10-28 07:46:54.489678,2.97368629,0,45.710121009999995,1
16,6717,0.005986987419966889,2019-10-28 07:52:53.091435,3.58601757,1,49.29613858,0
17,29048,0.001413927418309233,2019-10-28 07:56:02.528388,1.8943695299999999,0,51.190508109999996,0
18,12806,0.0014159294401010314,2019-10-28 08:00:26.040559,2.6351217100000004,0,53.825629819999996,0
19,15177,0.0007082153270520293,2019-10-28 08:05:52.461867,3.26421308,0,57.089842899999994,1
20,17502,0.0017714796483821156,2019-10-28 08:12:26.523325,3.94061458,0,61.030457479999995,0
21,20961,0.003539826705123987,2019-10-28 08:19:35.523121,4.28999796,1,65.32045543999999,1
22,13948,0.0,2019-10-28 08:23:19.026118,2.23502997,0,67.55548540999999,0
23,22889,0.00017669405470471992,2019-10-28 08:27:53.852883,2.7482676500000003,0,70.30375305999999,0
24,13846,0.0005302695661152223,2019-10-28 08:32:50.562731,2.96709848,0,73.27085154,0
25,7667,0.0003535442851036847,2019-10-28 08:38:00.871890,3.10309159,0,76.37394313,1
26,6810,0.0017658489490585839,2019-10-28 08:44:39.588405,3.98716515,0,80.36110828,1
27,6600,0.0007054674013923167,2019-10-28 08:46:13.637359,0.94048954,0,81.30159782,1
28,4780,0.0026480728688077514,2019-10-28 08:50:00.283028,2.26645669,0,83.56805451,0
29,9340,0.001589685047306015,2019-10-28 08:58:12.966881,4.92683853,0,88.49489304,1
30,5267,0.0003530450169060869,2019-10-28 09:01:18.076096,1.8510921500000002,0,90.34598519,0
31,4853,0.0021208915691376244,2019-10-28 09:09:04.098755,4.66022659,0,95.00621177999999,0
32,9588,0.003532324407545294,2019-10-28 09:13:51.118502,2.87019747,1,97.87640924999998,1
33,12981,0.0010583878215016202,2019-10-28 09:16:40.951881,1.6983337900000002,0,99.57474303999999,0
34,4189,0.0003530450169060869,2019-10-28 09:24:57.748356,4.96796475,0,104.54270778999998,0
35,13901,0.00035316970171079626,2019-10-28 09:26:21.421283,0.83672927,0,105.37943705999999,0
36,5216,0.0007067138103324022,2019-10-28 09:34:16.101067,4.74679784,0,110.12623489999999,0
37,2265,0.0010598835120432524,2019-10-28 09:38:26.241582,2.50140515,0,112.62764004999998,1
38,4949,0.00035316970171079626,2019-10-28 09:42:58.963975,2.72722393,0,115.35486397999998,0
39,3700,0.00035316970171077235,2019-10-28 09:49:53.121433,4.14157458,0,119.49643855999997,1
40,3663,0.0007059654370154013,2019-10-28 09:52:20.607193,1.4748576,0,120.97129615999998,1
41,3419,0.00035292042010927755,2019-10-28 09:59:14.273104,4.13665911,0,125.10795526999998,0
42,7290,0.0008820676235662114,2019-10-28 10:02:16.857908,1.82584804,0,126.93380330999997,1
43,9303,0.0001763201979354137,2019-10-28 10:09:45.123804,4.48265896,0,131.41646226999998,1
44,4609,0.00035267149016561663,2019-10-28 10:14:08.722071,2.63598267,0,134.05244494,0
45,15069,0.0003527959112267105,2019-10-28 10:15:29.731562,0.81009491,0,134.86253985,0
46,8131,0.0038889919971364477,2019-10-28 10:22:45.575135,4.35843573,1,139.22097558,0
47,6928,0.0014179371393767417,2019-10-28 10:29:54.215353,4.28640218,0,143.50737776,0
48,5159,0.0014199505403218629,2019-10-28 10:34:42.456434,2.88241081,0,146.38978857,0
49,7549,0.0005327177609779798,2019-10-28 10:38:11.623190,2.09166756,0,148.48145613,1
50,11496,0.001065719461434885,2019-10-28 10:40:41.893045,1.50269855,0,149.98415468,0
51,4364,0.0008889679668018634,2019-10-28 10:47:04.239233,3.82346188,0,153.80761655999999,0
52,17161,0.0014239945446493348,2019-10-28 10:54:41.001325,4.5676209199999995,0,158.37523747999998,0
53,7245,0.001426025197094139,2019-10-28 10:59:11.911981,2.7091065600000004,0,161.08434404,0
54,10191,0.0010697094976179606,2019-10-28 11:03:08.771705,2.36859724,0,163.45294128,1
55,8610,0.0017803102441256563,2019-10-28 11:05:29.264360,1.40492655,0,164.85786783,1
56,6606,0.0005334756061437835,2019-10-28 11:11:15.137110,3.4587275,0,168.31659533,1
57,6270,0.0,2019-10-28 11:18:18.496661,4.23359551,0,172.55019084,0
58,8777,0.0005331911616587351,2019-10-28 11:24:26.076993,3.67580332,0,176.22599416,1
59,5598,0.0003554291844776178,2019-10-28 11:27:22.995812,1.7691881900000002,0,177.99518235,0
60,11781,0.0014229813856131415,2019-10-28 11:33:10.789080,3.4779326800000003,0,181.47311503,0
61,8400,0.0007117438022881313,2019-10-28 11:35:13.419115,1.22630035,0,182.69941538,1
62,12471,0.0023096750073995113,2019-10-28 11:43:58.654211,5.25235096,0,187.95176634,1
63,9684,0.0005325286359984208,2019-10-28 11:48:00.995339,2.42341128,0,190.37517762000002,0
64,4712,0.0,2019-10-28 11:53:07.126781,3.06131442,0,193.43649204000002,0
65,5857,0.0024827109755562664,2019-10-28 11:59:00.798477,3.53671696,0,196.97320900000003,1
66,6318,0.0019501823395578974,2019-10-28 12:00:04.216201,0.63417724,0,197.60738624000004,0
67,14192,0.0007095973333053951,2019-10-28 12:05:17.165467,3.1294926600000004,0,200.73687890000005,1
68,5393,0.0008870753708641299,2019-10-28 12:11:17.956842,3.6079137500000003,0,204.34479265000004,0
69,14972,0.0005326231816994241,2019-10-28 12:18:46.815200,4.48858358,0,208.83337623000006,0
70,10009,0.00017757258325979729,2019-10-28 12:23:29.440482,2.82625282,0,211.65962905000006,1
71,6671,0.00035505059843970115,2019-10-28 12:25:54.812558,1.45372076,0,213.11334981000007,1
72,9691,0.00035505059843967107,2019-10-28 12:32:56.378990,4.21566432,0,217.32901413000008,0
73,29416,0.0014214643473774255,2019-10-28 12:37:43.510320,2.8713132999999997,0,220.20032743000007,0
74,27355,0.0007114906027640492,2019-10-28 12:43:28.494228,3.44983908,0,223.65016651000008,0
75,35570,0.001246327945537442,2019-10-28 12:49:32.336506,3.6384227800000004,0,227.2885892900001,0
76,110177,0.0008911862277734086,2019-10-28 12:50:51.611006,0.792745,0,228.0813342900001,0
77,157957,0.0017815789497630779,2019-10-28 12:57:46.291584,4.14680578,0,232.22814007000008,1
78,11506,0.005386976575463616,2019-10-29 06:33:18.684994,3.31141495,1,235.53955502000008,0
79,5231,0.003953284573614921,2019-10-29 06:39:29.864165,3.71179171,1,239.25134673000008,1
80,9894,0.003953284573614919,2019-10-29 06:40:42.213556,0.72349391,1,239.97484064000008,0
81,6990,0.0014393669271652843,2019-10-29 06:46:40.184243,3.57970687,0,243.55454751000008,1
82,11353,0.0003595182494233819,2019-10-29 06:53:27.510277,4.07326034,0,247.62780785000007,1
83,11524,0.006129458526953136,2019-10-29 06:56:15.728908,1.6821863099999999,1,249.30999416000006,0
84,14461,0.0018066852249490513,2019-10-29 07:01:22.009651,3.06280743,0,252.37280159000005,1
85,19475,0.004704188157587399,2019-10-29 07:07:10.781165,3.48771514,1,255.86051673000006,0
86,5826,0.0068679106028985155,2019-10-29 07:10:42.869049,2.12087884,1,257.9813955700001,1
87,19179,0.004693996703278639,2019-10-29 07:18:47.895688,4.85026639,1,262.8316619600001,0
88,12742,0.006133881761266217,2019-10-29 07:21:09.613022,1.41717334,1,264.24883530000005,1
89,5642,0.0014378147696274175,2019-10-29 07:25:23.745501,2.54132479,0,266.79016009000003,1
90,11250,0.0017943661731787996,2019-10-29 07:34:58.331042,5.745855410000001,0,272.5360155,1
91,7706,0.003221767597937441,2019-10-29 07:35:35.499708,0.37168666,1,272.90770216000004,1
92,13502,0.001428571671525692,2019-10-29 07:43:00.992764,4.45493056,0,277.36263272,1
93,15655,0.0,2019-10-29 07:46:16.581513,1.95588749,0,279.31852021000003,0
94,15257,0.0007140307336569516,2019-10-29 07:50:38.331110,2.61749597,0,281.93601618,0
95,12515,0.00035707909681331973,2019-10-29 07:59:19.540938,5.21209828,0,287.14811446000004,1
96,11749,0.0007142857446550875,2019-10-29 08:01:39.034829,1.3949389099999998,0,288.54305337000005,0
97,14583,0.00035733429002701624,2019-10-29 08:07:27.799821,3.48764992,0,292.0307032900001,0
98,11901,0.0032217675979375037,2019-10-29 08:12:06.018134,2.7821831300000004,1,294.8128864200001,0
99,8719,0.0007168459088331968,2019-10-29 08:16:30.386149,2.6436801500000002,0,297.4565665700001,1
100,9727,0.0007163324088546098,2019-10-29 08:23:35.372772,4.24986623,0,301.70643280000013,1
101,12902,0.0042872520116199915,2019-10-29 08:28:29.638973,2.9426620100000003,1,304.6490948100001,1
102,7316,0.0017841217935014426,2019-10-29 08:33:41.005768,3.1136679500000004,0,307.7627627600001,0
