,v,diff,date,dt,event,time_elapsed,pos
0,974,0.005177807958694658,2020-07-23 06:31:51.025760,2.31425049,1,0.0,1
1,1129,3.797444320421181e-05,2020-07-23 06:38:26.789703,3.95763943,0,3.95763943,0
2,1790,0.0009109888654318731,2020-07-23 06:44:05.465479,3.38675776,0,7.3443971900000005,1
3,1019,0.0001517738572445328,2020-07-23 06:45:38.063076,0.92597597,0,8.27037316,0
4,1436,0.0015924777764447034,2020-07-23 06:54:17.013943,5.18950867,0,13.45988183,1
5,1859,0.000643854056745423,2020-07-23 06:56:20.770881,1.23756938,0,14.69745121,1
6,564,0.0019138399164054735,2020-07-23 07:03:44.848309,4.44077428,0,19.13822549,0
7,4118,0.0007399888390646806,2020-07-23 07:09:47.277239,3.6242892999999996,0,22.76251479,0
8,1683,0.0025276774991802252,2020-07-23 07:13:22.101594,2.14824355,1,24.91075834,0
9,2126,0.0012186067503191648,2020-07-23 07:15:27.274624,1.2517303,0,26.16248864,0
10,3751,0.00028574422276734417,2020-07-23 07:21:51.425635,3.8415101099999998,0,30.00399875,1
11,5107,0.0011231357604875136,2020-07-23 07:25:51.729582,2.40303947,0,32.407038220000004,1
12,2939,0.0002093025475955449,2020-07-23 07:30:40.291388,2.88561806,0,35.29265628,0
13,3139,0.0005326839788083467,2020-07-23 07:38:25.961755,4.65670367,0,39.94935995,1
14,4680,0.0006844627235049445,2020-07-23 07:43:01.214383,2.75252628,0,42.70188623,1
15,3999,0.00039905367801460265,2020-07-23 07:49:08.637833,3.6742345,0,46.37612073,1
16,2773,0.00011399908813086257,2020-07-23 07:52:15.895520,1.87257687,0,48.2486976,0
17,5405,0.0008356916784247075,2020-07-23 07:58:48.527560,3.9263204000000003,0,52.175018,1
18,5363,0.0026614467357084755,2020-07-23 08:00:46.183438,1.17655878,1,53.35157678,0
19,4164,0.0008562377438950581,2020-07-23 08:09:06.184502,5.00001064,0,58.35158742,1
20,6027,0.0007034688910068762,2020-07-23 08:11:36.822441,1.50637939,0,59.85796681,1
21,4688,0.001483566918485771,2020-07-23 08:17:45.574986,3.68752545,0,63.54549226,0
22,6756,0.0005521443331286984,2020-07-23 08:24:47.678971,4.22103985,0,67.76653211,0
23,19170,0.0012181196786006415,2020-07-23 08:29:07.138426,2.59459455,0,70.36112666,1
24,4136,3.8042341130269275e-05,2020-07-23 08:30:24.829095,0.77690669,0,71.13803335,1
25,4061,0.0005704615188263415,2020-07-23 08:35:40.099822,3.15270727,0,74.29074062,1
26,838,0.0016971278479168174,2020-07-23 08:40:27.375343,2.8727552100000002,0,77.16349582999999,0
27,2021,0.0006819450555633737,2020-07-23 08:45:16.392465,2.8901712199999996,0,80.05366704999999,0
28,841,0.0005527547339321132,2020-07-23 08:52:27.717343,4.31324878,0,84.36691582999998,0
29,2259,0.0014882374767992835,2020-07-23 08:56:36.903267,2.49185924,0,86.85877506999998,0
30,700,0.0014904556291340508,2020-07-23 09:02:15.860720,3.38957453,0,90.24834959999998,0
31,4729,0.0005738441979235949,2020-07-23 09:08:46.735254,3.90874534,0,94.15709493999998,0
32,1416,9.566357042894747e-05,2020-07-23 09:10:11.103349,0.84368095,0,95.00077588999999,1
33,3515,0.00032529348456130264,2020-07-23 09:19:08.138557,5.37035208,0,100.37112796999999,0
34,3368,0.0019539861775352977,2020-07-23 09:24:46.796638,3.38658081,1,103.75770877999999,0
35,2594,0.0005743316842744611,2020-07-23 09:26:37.444347,1.10647709,0,104.86418586999999,1
36,4608,0.00015407027244573646,2020-07-23 09:31:14.646018,2.77201671,0,107.63620257999999,1
37,3231,7.664303510164512e-05,2020-07-23 09:39:05.116708,4.7047069,0,112.34090948,1
38,3135,0.0017229171327474615,2020-07-23 09:41:13.878877,1.28762169,0,113.62853116999999,1
39,2170,0.0022212018936275495,2020-07-23 09:46:19.599453,3.05720576,1,116.68573692999999,0
40,4036,0.0006327961169556477,2020-07-23 09:52:27.663890,3.68064437,0,120.36638129999999,0
41,2137,0.00040273476624773217,2020-07-23 09:56:34.545654,2.46881764,0,122.83519893999998,1
42,1676,0.0008049832729852226,2020-07-23 10:01:30.327095,2.9578144099999997,0,125.79301334999998,1
