,v,diff,date,dt,event,time_elapsed,pos
0,10230,0.003846158587478315,2020-04-22 06:34:36.479736,4.53910224,1,0.0,1
1,18894,0.0020173886471251887,2020-04-22 06:37:27.817040,1.7133730399999998,0,1.7133730399999998,0
2,13068,0.005786495073539646,2020-04-22 06:40:37.550210,1.8973317,1,3.61070474,0
3,10745,0.0012565851539887388,2020-04-22 06:46:49.596926,3.72046716,0,7.3311719,1
4,16630,0.0029901155627722375,2020-04-22 06:52:19.586516,3.2998959,0,10.6310678,1
5,5363,0.004708151862980282,2020-04-22 06:57:16.310003,2.96723487,1,13.59830267,1
6,9049,0.008664731210267283,2020-04-22 07:04:24.124862,4.27814859,1,17.87645126,0
7,6911,0.00154828751657239,2020-04-22 07:06:22.309876,1.1818501399999999,0,19.058301399999998,0
8,4901,0.0021328170954595864,2020-04-22 07:10:16.179497,2.33869621,0,21.39699761,0
9,7910,0.007637683959318942,2020-04-22 07:15:48.417482,3.32237985,1,24.71937746,1
10,4700,0.004420533817759084,2020-04-22 07:24:27.623120,5.19205638,1,29.91143384,1
11,2300,0.0035541077707774977,2020-04-22 07:28:33.860484,2.46237364,1,32.37380748,0
12,5345,0.00048102362753471323,2020-04-22 07:30:00.552005,0.8669152099999999,0,33.240722690000005,1
13,2880,0.0008652598722786777,2020-04-22 07:38:21.940416,5.01388411,0,38.254606800000005,1
14,4623,0.0015363936189109906,2020-04-22 07:40:03.822118,1.01881702,0,39.273423820000005,1
15,3491,0.0017286089006177425,2020-04-22 07:49:17.952164,5.5413004599999995,0,44.81472428000001,0
16,2204,0.002598528963263849,2020-04-22 07:54:15.658049,2.97705885,0,47.791783130000006,0
17,4700,0.0005780346981756042,2020-04-22 07:57:36.481764,2.00823715,0,49.800020280000005,1
18,3958,0.0018315906214533488,2020-04-22 08:02:28.461452,2.9197968800000003,0,52.719817160000005,0
19,2550,0.001641640077049971,2020-04-22 08:09:15.437671,4.0697621900000005,0,56.789579350000004,0
20,2839,0.004916857338710514,2020-04-22 08:13:50.515213,2.75077542,1,59.54035477000001,1
21,2114,0.0010584557158497228,2020-04-22 08:17:01.928760,1.91413547,0,61.454490240000005,0
22,4913,0.00441883524015799,2020-04-22 08:23:01.390585,3.59461825,1,65.04910849000001,1
23,6400,0.002584599150944445,2020-04-22 08:27:14.866265,2.5347568000000003,0,67.58386529,1
24,1900,0.0010510726685482542,2020-04-22 08:34:46.838140,4.51971875,0,72.10358404,1
25,3500,0.0015268635469431972,2020-04-22 08:35:34.313633,0.47475493,0,72.57833897,1
26,2864,0.0006677159593720162,2020-04-22 08:43:49.851483,4.9553785,0,77.53371747,0
27,2400,0.0004769854609871324,2020-04-22 08:47:21.269498,2.11418015,0,79.64789762,1
28,4400,0.0010962039083568156,2020-04-22 08:54:55.957986,4.54688488,0,84.1947825,1
29,6800,0.0011915828010800867,2020-04-22 08:55:14.283546,0.1832556,0,84.3780381,0
30,3000,0.003427921848403866,2020-04-22 09:01:18.962310,3.64678764,1,88.02482574,1
31,3000,0.0032371731592228388,2020-04-22 09:06:41.088355,3.22126045,1,91.24608619,0
32,5648,0.0015270092678955727,2020-04-22 09:11:46.446202,3.0535784699999997,0,94.29966466,0
33,1950,4.775663221143644e-05,2020-04-22 09:19:42.550450,4.7610424799999995,0,99.06070714,0
34,2300,0.000525197557967278,2020-04-22 09:20:12.791822,0.30241372,0,99.36312086000001,1
35,4000,0.0006684811403019646,2020-04-22 09:28:39.623941,5.06832119,0,104.43144205000002,0
36,4200,0.0026305106399199755,2020-04-22 09:30:17.536405,0.97912464,0,105.41056669000001,0
37,3600,0.0030125545796192157,2020-04-22 09:35:37.603669,3.20067264,0,108.61123933,1
38,4258,0.0004775777348520282,2020-04-22 09:43:15.378161,4.57774492,0,113.18898425,0
39,6646,0.00038208043257828355,2020-04-22 09:45:05.605183,1.10227022,0,114.29125447,1
40,2000,0.001146679533193762,2020-04-22 09:51:16.424288,3.70819105,0,117.99944552,0
41,4288,0.00019120458949256728,2020-04-22 09:59:25.921589,4.89497301,0,122.89441853,1
42,2500,0.0008607087032577889,2020-04-22 10:02:35.271924,1.89350335,0,124.78792188,0
43,2803,0.0009085041388027819,2020-04-22 10:08:10.994224,3.3572230000000003,0,128.14514488,1
