,v,diff,date,dt,event,time_elapsed,pos
0,500,0.00028167030677034034,2019-10-22 06:34:03.303461,3.1026352900000003,0,0.0,1
1,100,0.0008445352039721718,2019-10-22 06:38:51.407839,2.88104378,0,2.88104378,1
2,6194,0.0010195293470433788,2019-10-22 06:42:12.454844,2.0104700500000003,0,4.891513830000001,1
3,913,0.00172029462967239,2019-10-22 06:48:13.748976,3.61294132,1,8.504455150000002,1
4,1708,0.0004912108445844928,2019-10-22 06:50:23.417364,1.29668388,0,9.801139030000002,0
5,1476,0.0018232824125369003,2019-10-22 06:55:36.495680,3.1307831599999996,1,12.931922190000002,1
6,1200,0.0003503731509861739,2019-10-22 07:03:56.510749,5.00015069,0,17.93207288,0
7,900,0.0023155467666442814,2019-10-22 07:14:02.717443,6.062066939999999,1,23.99413982,0
8,200,0.0006324444186774647,2019-10-22 07:18:41.816721,2.7909927800000003,0,26.7851326,0
9,400,0.0008431703703582183,2019-10-22 07:23:31.890734,2.90074013,0,29.68587273,1
10,1000,0.0007728790126515198,2019-10-22 07:28:20.796312,2.88905578,0,32.57492851,0
11,1000,0.0007026419625788524,2019-10-22 07:32:52.140419,2.71344107,0,35.28836958,1
12,600,0.0016843291230213518,2019-10-22 07:35:57.756515,1.85616096,1,37.14453054,1
13,800,0.0004907287420151829,2019-10-22 07:42:18.577257,3.80820742,0,40.95273796,1
14,200,0.0005605381312686668,2019-10-22 07:45:36.288483,1.9771122600000002,0,42.92985022,1
15,1319,0.0007702272551071475,2019-10-22 07:53:01.742131,4.45453648,0,47.3843867,1
16,500,0.0007702272551072376,2019-10-22 07:55:22.046090,1.40303959,0,48.78742629,0
17,1683,0.0021036400717517134,2019-10-22 08:03:25.228561,4.83182471,1,53.619251,0
18,300,0.00228394835663344,2019-10-22 08:07:01.853574,2.16625013,1,55.78550113,0
19,1400,0.0005275281910306194,2019-10-22 08:11:13.056621,2.51203047,0,58.2975316,1
20,600,0.0006326667112017914,2019-10-22 08:17:12.024789,3.58968168,0,61.88721328,1
21,900,0.0004920395136702178,2019-10-22 08:24:13.114036,4.21089247,0,66.09810575,0
22,1000,0.0013367575072495235,2019-10-22 08:25:22.995298,0.6988126200000001,1,66.79691837,0
23,400,0.0011270781694660496,2019-10-22 08:33:02.766461,4.59771163,0,71.39463,0
24,200,0.000846143048650248,2019-10-22 08:38:11.356224,3.08589763,0,74.48052763000001,0
25,200,0.0009174636304657721,2019-10-22 08:41:44.197336,2.12841112,0,76.60893875000001,0
26,100,0.0008476372620251105,2019-10-22 08:49:47.369089,4.831717530000001,0,81.44065628000001,0
27,1244,0.00014132278146771648,2019-10-22 08:54:03.400368,2.56031279,0,84.00096907000001,1
28,1370,0.0019095447649713569,2019-10-22 08:57:02.555206,1.79154838,1,85.79251745,0
29,1400,7.079395422579289e-05,2019-10-22 09:01:24.619550,2.6206434400000003,0,88.41316089,0
30,800,7.079896636460983e-05,2019-10-22 09:06:18.967959,2.94348409,0,91.35664498,0
31,200,0.0011321824022867623,2019-10-22 09:12:43.516783,3.8454882400000003,0,95.20213322,1
32,2600,0.0006009509345358514,2019-10-22 09:19:14.907363,3.9139058,0,99.11603901999999,1
33,500,0.0011668819060639709,2019-10-22 09:26:24.820061,4.29912698,0,103.41516599999999,0
34,100,0.0002830856352945208,2019-10-22 09:30:10.828192,2.26008131,0,105.67524730999999,0
35,600,0.0009914312829657583,2019-10-22 09:35:32.432397,3.21604205,0,108.89128935999999,0
36,1233,7.085414676852619e-05,2019-10-22 09:40:20.115602,2.87683205,0,111.76812140999999,0
37,700,0.0009207125548605601,2019-10-22 09:49:47.519079,5.67403477,0,117.44215618,1
