,v,diff,date,dt,event,time_elapsed,pos
0,4892,0.0030106433329454762,2020-04-21 06:30:10.305187,0.31964419,1,0.0,1
1,4300,0.00853638329620025,2020-04-21 06:39:44.435043,5.741298560000001,1,5.741298560000001,0
2,2001,0.0003135943160597336,2020-04-21 06:44:00.312514,2.5587747100000002,0,8.30007327,1
3,1700,0.0055240121708513895,2020-04-21 06:49:16.011127,3.1569861300000004,1,11.4570594,1
4,4110,0.00020790020864894294,2020-04-21 06:53:29.024397,2.5301327000000002,0,13.987192100000001,0
5,2300,0.004667332021980643,2020-04-21 06:56:33.019861,1.83995464,1,15.827146740000002,1
6,1900,0.0013461042674601082,2020-04-21 07:04:49.557788,4.965379270000001,0,20.792526010000003,0
7,1900,0.0016073422691607303,2020-04-21 07:09:14.980353,2.6542256500000003,0,23.446751660000004,0
8,1600,0.0033786450000026025,2020-04-21 07:10:31.232790,0.76252437,1,24.209276030000005,0
9,2500,0.00031245118204510094,2020-04-21 07:17:09.665822,3.98433032,0,28.193606350000007,0
10,4300,0.004572861845134112,2020-04-21 07:20:54.018124,2.24352302,1,30.437129370000008,1
11,5594,0.0006219550319699032,2020-04-21 07:25:47.755968,2.93737844,0,33.37450781000001,1
12,2700,0.0029057720736325975,2020-04-21 07:32:07.410952,3.79654984,1,37.17105765000001,0
13,2500,0.0013519839821310906,2020-04-21 07:39:18.314907,4.30903955,0,41.48009720000001,0
14,4800,0.0022921452002712906,2020-04-21 07:44:12.203221,2.9388831399999997,0,44.41898034000001,0
15,3851,0.005229043498084197,2020-04-21 07:48:52.597767,2.80394546,1,47.22292580000001,0
16,4605,0.0008384865809356528,2020-04-21 07:50:27.940126,0.95342359,0,48.17634939000001,1
17,5694,0.0012579936662698615,2020-04-21 07:59:51.491947,5.63551821,0,53.811867600000014,0
18,4842,0.00020977554094133645,2020-04-21 08:00:56.562222,0.65070275,0,54.462570350000014,1
19,5461,0.0024150796639015254,2020-04-21 08:05:53.567999,2.9700577700000004,0,57.43262812000002,0
20,2665,0.0014729092615505847,2020-04-21 08:14:42.150516,5.285825170000001,0,62.71845329000002,0
21,3401,0.0006841205371409122,2020-04-21 08:19:11.128707,2.6897819099999998,0,65.40823520000002,1
22,5654,0.001526758042234592,2020-04-21 08:24:26.647915,3.15519208,0,68.56342728000003,0
23,4118,0.0013708021337787146,2020-04-21 08:28:09.612953,2.22965038,0,70.79307766000002,0
24,1609,0.0008973107672350513,2020-04-21 08:34:23.661547,3.7404859399999997,0,74.53356360000002,0
25,1966,5.2805280540227544e-05,2020-04-21 08:36:09.873939,1.0621239199999999,0,75.59568752000003,1
26,2100,0.0026436857780966073,2020-04-21 08:43:59.220216,4.69346277,1,80.28915029000002,0
27,4064,0.0013755888101086111,2020-04-21 08:47:56.568445,2.37348229,0,82.66263258000002,1
28,3200,0.001693301282995617,2020-04-21 08:51:30.781302,2.14212857,0,84.80476115000002,0
29,3044,0.0010586492625396047,2020-04-21 08:56:30.578664,2.9979736200000002,0,87.80273477000001,1
30,2001,0.0035508954288601038,2020-04-21 09:00:07.631561,2.17052897,1,89.97326374000002,0
31,2012,0.0027113974983183882,2020-04-21 09:08:26.317473,4.98685912,1,94.96012286000003,0
32,1931,0.0021272077793753896,2020-04-21 09:13:13.517004,2.87199531,0,97.83211817000003,1
33,2629,0.0014863576364229883,2020-04-21 09:19:40.993712,3.87476708,0,101.70688525000003,1
34,2500,0.0012738855225885915,2020-04-21 09:22:04.808519,1.43814807,0,103.14503332000002,0
35,2750,0.0008494372988987446,2020-04-21 09:26:34.065941,2.69257422,0,105.83760754000002,1
36,2502,0.0025504795972253833,2020-04-21 09:30:11.586733,2.17520792,1,108.01281546000003,0
37,1900,0.0008508828422323153,2020-04-21 09:38:32.674849,5.01088116,0,113.02369662000002,1
38,3100,0.0015959997003798176,2020-04-21 09:40:53.689667,1.41014818,0,114.43384480000002,0
39,4626,0.0028709679988864725,2020-04-21 09:46:47.648081,3.53958414,1,117.97342894000002,1
40,1900,0.0029686196525623145,2020-04-21 09:51:17.431201,2.6978312,1,120.67126014000002,1
41,2831,0.0013752977571081378,2020-04-21 09:58:32.681391,4.3525019,0,125.02376204000001,1
42,2308,0.0007397622530227967,2020-04-21 10:04:26.029054,3.53347663,0,128.55723867,1
43,4469,0.00021130480797050918,2020-04-21 10:06:27.856481,1.21827427,0,129.77551294,0
44,2298,0.000211349467129235,2020-04-21 10:14:12.081178,4.6422469699999995,0,134.41775991,0
45,2012,0.0027440650464132586,2020-04-21 10:16:37.032369,1.44951191,1,135.86727182,1
46,2300,0.0012639563511255456,2020-04-21 10:21:03.554659,2.6652229,0,138.53249472000002,1
47,2818,0.0009469199508119942,2020-04-21 10:29:32.691848,5.09137189,0,143.62386661000002,1
48,1726,0.0007358738834040137,2020-04-21 10:30:45.095469,0.72403621,0,144.34790282000003,1
49,3900,0.0025188930194839864,2020-04-21 10:37:35.458845,4.10363376,0,148.45153658000004,1
50,2464,0.001573564447430552,2020-04-21 10:42:20.588899,2.8513005399999996,0,151.30283712000005,0
51,1100,0.0025228647881522038,2020-04-21 10:47:54.094446,3.33505547,0,154.63789259000004,0
52,2367,0.0010519672756360355,2020-04-21 10:50:08.728222,1.3463377600000002,0,155.98423035000005,1
53,3445,0.0016836792359991748,2020-04-21 10:55:13.702040,3.04973818,0,159.03396853000004,0
54,2705,0.0008421939649290446,2020-04-21 11:02:23.673382,4.29971342,0,163.33368195000003,1
55,2610,0.002837179436932438,2020-04-21 11:07:54.491126,3.30817744,1,166.64185939000004,1
56,2710,0.0007342529306647218,2020-04-21 11:10:27.022680,1.52531554,0,168.16717493000004,1
57,6103,0.001574059824448407,2020-04-21 11:17:18.934346,4.11911666,0,172.28629159000005,0
58,2700,0.0027267977042566907,2020-04-21 11:22:22.655038,3.03720692,1,175.32349851000004,1
59,2600,0.0017820645210949026,2020-04-21 11:26:50.455211,2.6780017299999996,0,178.00150024000004,0
60,1900,0.0009447331831618585,2020-04-21 11:34:58.367966,4.87912755,0,182.88062779000003,0
61,2259,0.0025236606453969117,2020-04-21 11:37:23.151971,1.4478400500000002,0,184.32846784000003,0
62,2909,0.002952342928943286,2020-04-21 11:43:19.279124,3.5612715300000004,1,187.88973937000003,0
63,3105,0.0013736991646118224,2020-04-21 11:48:00.281922,2.8100279799999996,0,190.69976735000003,0
64,3003,0.0005285691755812331,2020-04-21 11:54:27.755315,3.8747339299999997,0,194.57450128000002,1
65,5337,0.00021134946712930044,2020-04-21 11:55:52.937975,0.8518266,0,195.42632788000003,1
66,5494,0.0005281783252772924,2020-04-21 12:01:27.759417,3.3482144199999997,0,198.77454230000004,1
67,4437,0.004021169439615285,2020-04-21 12:05:29.521039,2.4176162199999998,1,201.19215852000005,0
68,6818,0.0027530724716273197,2020-04-21 12:14:46.254031,5.56732992,1,206.75948844000004,1
69,5840,0.0014792902105891243,2020-04-21 12:16:48.177396,1.21923365,0,207.97872209000005,1
70,5103,0.0018987347476571719,2020-04-21 12:23:40.600500,4.124231040000001,0,212.10295313000006,1
71,5902,0.00021079258088162504,2020-04-21 12:25:00.814148,0.80213648,0,212.90508961000006,0
72,7306,0.00021079258088161975,2020-04-21 12:31:54.856812,4.14042664,0,217.04551625000005,1
73,6475,0.0006321112726278244,2020-04-21 12:37:11.112200,3.16255388,0,220.20807013000004,1
74,9750,0.0007375020088796693,2020-04-21 12:43:13.066542,3.61954342,0,223.82761355000005,0
75,18527,0.003272634221994596,2020-04-21 12:47:11.203721,2.38137179,1,226.20898534000005,0
76,46843,0.00021150592295425275,2020-04-21 12:50:48.184515,2.16980794,0,228.37879328000005,0
77,64012,0.00010575855332157957,2020-04-21 12:55:27.747164,2.79562649,0,231.17441977000004,1
