,v,diff,date,dt,event,time_elapsed,pos
0,500,0.009345862418237658,2020-07-23 03:26:49.876441,87.12982617,1,0.0,0
1,100,0.013708557858470286,2020-07-23 03:38:33.699958,7.03823517,1,7.03823517,0
2,609,0.005221943981151625,2020-07-23 03:55:45.272105,10.315721470000002,1,17.35395664,1
3,243,0.003780722839905931,2020-07-23 04:20:25.430006,14.801579010000001,1,32.155535650000004,1
4,352,0.0047281411959459,2020-07-23 04:29:30.274365,5.44844359,1,37.60397924,0
5,2513,0.005199728094570266,2020-07-23 04:58:02.130708,17.11856343,1,54.722542669999996,1
6,300,0.009950330853168092,2020-07-23 05:00:56.037875,1.73907167,1,56.46161434,0
7,1006,0.013207632058386602,2020-07-23 05:23:38.401654,13.62363779,1,70.08525213,1
8,550,0.013207632058386667,2020-07-23 05:33:02.438013,5.64036359,1,75.72561572000001,0
9,2000,0.0,2020-07-23 05:35:46.563066,1.64125053,0,77.36686625,0
10,150,0.006975613736425138,2020-07-23 05:48:06.704936,7.401418700000001,1,84.76828495000001,1
11,300,0.0022250109778272726,2020-07-23 05:58:01.939964,5.952350280000001,0,90.72063523000001,0
12,160,0.004750602758597865,2020-07-23 06:01:55.732695,2.33792731,1,93.05856254000001,0
13,1269,0.0038022859497384787,2020-07-23 06:11:32.725069,5.76992374,1,98.82848628,1
14,984,0.005530220897586353,2020-07-23 06:17:23.682605,3.50957536,1,102.33806164,1
15,1010,0.004108082710518611,2020-07-23 06:22:48.479821,3.2479721599999998,1,105.58603380000001,0
16,271896,0.000473821378208354,2020-07-23 06:26:40.347987,2.31868166,0,107.90471546,0
17,481749,0.002372480353630468,2020-07-23 06:34:01.468728,4.41120741,0,112.31592287000001,0
18,227328,0.02208217516519323,2020-07-23 06:39:18.905243,3.17436515,1,115.49028802000001,1
19,136232,0.0018570107472126892,2020-07-23 06:43:29.628143,2.507229,0,117.99751702,1
20,144146,0.006933237849404163,2020-07-23 06:48:03.076789,2.73448646,1,120.73200348,1
21,84009,0.0058670161133671725,2020-07-23 06:51:53.616274,2.3053948500000003,1,123.03739833,0
22,86584,0.0035612737960111353,2020-07-23 06:58:33.757641,4.00141367,1,127.03881200000001,1
23,96300,0.0004617871243458062,2020-07-23 07:00:39.327445,1.25569804,0,128.29451004,0
24,125972,0.000924214483531441,2020-07-23 07:06:50.334799,3.7100735400000002,0,132.00458358,0
25,61948,0.008822903762366007,2020-07-23 07:11:36.650604,2.86315805,1,134.86774163,0
26,126940,0.0004663091714246367,2020-07-23 07:16:31.010563,2.94359959,0,137.81134122,1
27,74611,0.0016330343066917222,2020-07-23 07:24:19.941618,4.68931055,0,142.50065177,0
28,56245,0.0,2020-07-23 07:25:29.652234,0.69710616,0,143.19775793,0
29,74167,0.002099126135218196,2020-07-23 07:31:31.733031,3.62080797,0,146.81856589999998,1
30,39865,0.002566197605642983,2020-07-23 07:37:46.708582,3.74975551,0,150.56832140999998,0
31,30471,0.0014005604530307983,2020-07-23 07:41:18.904604,2.12196022,0,152.69028163,1
32,102893,0.0016315118407492413,2020-07-23 07:48:27.282286,4.28377682,0,156.97405844999997,1
