,v,diff,date,dt,event,time_elapsed,pos
0,400,0.004086616493105704,2020-01-29 06:34:41.028917,5.56325559,1,0.0,1
1,1500,0.00014225538025931447,2020-01-29 06:35:29.990296,0.48961379,0,0.48961379,1
2,200,0.00023704733946343376,2020-01-29 06:44:27.107763,5.37117467,0,5.86078846,1
3,525,0.0025947739386056384,2020-01-29 06:47:58.854378,2.11746615,1,7.9782546100000005,0
4,300,0.0018076592569967135,2020-01-29 06:52:20.038238,2.6118386,1,10.590093210000001,0
5,200,0.0015224565234549779,2020-01-29 06:57:08.886325,2.8884808700000004,1,13.478574080000001,1
6,700,0.0029836556017741843,2020-01-29 07:08:26.173742,6.77287417,1,20.251448250000003,0
7,100,0.00041316404789295034,2020-01-29 07:10:42.195961,1.36022219,0,21.611670440000005,1
8,300,0.00012709306406726205,2020-01-29 07:17:46.768558,4.24572597,0,25.857396410000003,1
9,300,0.0029186911998500212,2020-01-29 07:21:43.802628,2.3703407000000003,1,28.227737110000003,1
10,500,0.0006020755945163197,2020-01-29 07:33:36.087374,7.12284746,0,35.35058457,0
11,100,0.00031692707773269956,2020-01-29 07:38:32.578236,2.96490862,0,38.315493190000005,1
12,1100,0.0006652201015066093,2020-01-29 07:41:50.467892,1.97889656,0,40.29438975000001,1
13,2600,0.00018998163568004838,2020-01-29 07:46:59.405889,3.08937997,0,43.38376972000001,1
14,300,0.0006492529860131097,2020-01-29 07:52:57.834003,3.58428114,0,46.96805086000001,0
15,1300,0.00011087791560885973,2020-01-29 07:57:08.282017,2.50448014,0,49.47253100000001,1
16,400,0.0007283206199179377,2020-01-29 08:03:31.717231,3.8343521399999996,0,53.30688314000001,1
17,100,0.0012035982702201789,2020-01-29 08:08:13.445911,2.8172867999999998,0,56.12416994000001,0
18,100,6.338742395624791e-05,2020-01-29 08:11:50.234839,2.16788928,0,58.292059220000006,0
19,633,0.0008237232755710008,2020-01-29 08:16:28.376829,2.7814199000000004,0,61.07347912000001,1
20,200,0.0016137967271084824,2020-01-29 08:27:59.460895,6.91084066,1,67.98431978,1
21,300,0.0002529724273546114,2020-01-29 08:35:38.563422,4.59102527,0,72.57534505000001,0
22,100,0.0006323111181270344,2020-01-29 08:42:14.264190,3.95700768,0,76.53235273000001,1
23,100,0.00031610558189558105,2020-01-29 08:46:23.104866,2.48840676,0,79.02075949000002,0
24,100,0.0011059326508359435,2020-01-29 08:52:04.356500,3.4125163400000003,0,82.43327583000001,1
25,800,0.0005682894640534157,2020-01-29 08:55:31.972185,2.0761568500000003,0,84.50943268000002,1
26,300,1.578145836484183e-05,2020-01-29 09:02:02.902176,3.9092999099999997,0,88.41873259000002,0
27,801,1.578170742321607e-05,2020-01-29 09:06:58.735280,2.95833104,0,91.37706363000002,0
28,300,0.0005995298603444628,2020-01-29 09:13:13.594459,3.74859179,0,95.12565542000003,1
29,100,0.0001261869461277946,2020-01-29 09:15:04.693928,1.11099469,0,96.23665011000003,0
30,200,0.00012620287128292117,2020-01-29 09:22:15.560296,4.30866368,0,100.54531379000002,0
31,300,0.00041026936336756694,2020-01-29 09:27:00.466388,2.84906092,0,103.39437471000002,0
32,600,3.1566154771412214e-05,2020-01-29 09:36:31.839155,5.71372767,0,109.10810238000002,0
33,100,6.313131315222923e-05,2020-01-29 09:49:17.602319,7.65763164,0,116.76573402000002,1
34,1100,0.00018937002960274225,2020-01-29 09:51:03.219894,1.05617575,0,117.82190977000002,1
35,500,0.0009156208706620475,2020-01-29 09:58:49.343168,4.66123274,0,122.48314251000002,0
36,601,0.0004739261711743575,2020-01-29 10:01:25.338505,1.5599533700000001,0,124.04309588000002,0
37,100,0.0008844805832953453,2020-01-29 10:14:58.178574,8.12840069,0,132.17149657000002,1
38,400,0.0004421425034130198,2020-01-29 10:17:38.716312,1.60537738,0,133.77687395,0
39,500,0.0004105673782940604,2020-01-29 10:21:24.502367,2.25786055,0,136.0347345,1
40,700,0.0008213033913984275,2020-01-29 10:25:23.544312,2.39041945,0,138.42515395,0
41,102,0.0011685749454559157,2020-01-29 10:36:25.214151,6.61669839,0,145.04185234000002,1
42,200,0.0005680025397267793,2020-01-29 10:40:19.957419,2.34743268,0,147.38928502000002,1
43,300,3.154723409884145e-05,2020-01-29 10:45:51.633099,3.3167568,0,150.70604182000002,0
44,800,0.0009468801010465281,2020-01-29 10:54:18.472119,5.0683902,0,155.77443202000003,0
45,700,0.00039479814483915583,2020-01-29 11:03:52.429850,5.73957731,0,161.51400933000002,0
46,100,1.5795168258356484e-05,2020-01-29 11:09:06.908928,3.14479078,0,164.65880011000002,0
47,300,0.0006320113972422319,2020-01-29 11:11:12.393782,1.25484854,0,165.91364865000003,0
48,900,0.0008531210527382147,2020-01-29 11:19:15.283587,4.82889805,0,170.74254670000002,1
49,100,0.0011048155292898206,2020-01-29 11:27:48.653659,5.13370072,0,175.87624742000003,1
50,1200,0.0006307755594389646,2020-01-29 11:39:26.381510,6.97727851,0,182.85352593000002,1
51,500,0.0008516410374852369,2020-01-29 11:40:04.296988,0.37915478,0,183.23268071,0
52,1100,0.00012623074997818154,2020-01-29 11:45:54.217653,3.4992066499999996,0,186.73188736,0
53,915,0.00041036001775373156,2020-01-29 11:51:45.943085,3.51725432,0,190.24914168,0
54,1000,9.471341306863626e-05,2020-01-29 11:57:00.890709,3.1494762400000003,0,193.39861792000002,1
55,400,0.00031574626892350667,2020-01-29 12:03:35.730926,3.94840217,0,197.34702009000003,0
56,500,0.0005051461874164985,2020-01-29 12:08:05.893194,2.70162268,0,200.04864277000001,1
57,600,0.0009157654385942365,2020-01-29 12:11:17.406121,1.91512927,0,201.96377204,0
58,900,0.00012636234418972168,2020-01-29 12:24:14.248782,7.768426610000001,0,209.73219865000002,1
59,1000,0.0004739411453821175,2020-01-29 12:25:10.953993,0.56705211,0,210.29925076,0
60,1000,0.00012642225048448927,2020-01-29 12:33:11.042098,4.80088105,0,215.10013181,0
61,1508,0.0003792188137975183,2020-01-29 12:38:01.350452,2.90308354,0,218.00321535,1
62,2800,0.00031590586268086224,2020-01-29 12:41:33.448865,2.12098413,0,220.12419948000002,1
63,1901,0.0003475019384509833,2020-01-29 12:47:26.762869,3.53314004,0,223.65733952000002,0
64,7845,6.319514663368942e-05,2020-01-29 12:53:03.364795,3.36601926,0,227.02335878000002,0
65,16965,0.0007586534266195771,2020-01-29 12:55:35.599471,1.52234676,0,228.54570554000003,0
66,100,0.00464845019365339,2020-01-30 06:33:47.234647,4.48511168,1,233.03081722000002,1
67,1197,0.0014816919215866363,2020-01-30 06:38:24.818173,2.77583526,0,235.80665248000003,1
68,800,0.0023022954267948215,2020-01-30 06:41:27.300988,1.8248281499999999,1,237.63148063000003,0
