,v,diff,date,dt,event,time_elapsed,pos
0,3129,0.004446764506081107,2020-07-09 06:33:25.785034,2.91426089,1,0.0,1
1,3331,0.0015092918627753475,2020-07-09 06:37:27.156897,2.41371863,0,2.41371863,1
2,7011,0.0005182934127848526,2020-07-09 06:40:33.778041,1.8662114399999998,0,4.27993007,1
3,22988,0.0037613472339177553,2020-07-09 06:47:36.659280,4.22881239,1,8.50874246,1
4,4324,0.0012678736642428605,2020-07-09 06:54:45.344182,4.28684902,0,12.79559148,0
5,8712,0.0006110314871318386,2020-07-09 06:59:04.072635,2.58728453,0,15.38287601,0
6,5408,0.002863918950851345,2020-07-09 07:02:08.174436,1.84101801,1,17.22389402,1
7,4753,0.00037498828601015646,2020-07-09 07:05:11.792361,1.83617925,0,19.06007327,1
8,2390,0.0033094349013671424,2020-07-09 07:11:18.681595,3.6688923399999998,1,22.72896561,0
9,4846,0.003131735491075526,2020-07-09 07:15:56.309229,2.77627634,1,25.50524195,0
10,2276,0.0012727145888216493,2020-07-09 07:23:24.637931,4.483287020000001,0,29.988528969999997,1
11,6760,0.0009543840529298713,2020-07-09 07:28:05.434073,2.80796142,0,32.796490389999995,0
12,2415,0.0010956968490386397,2020-07-09 07:33:19.825151,3.14391078,0,35.940401169999994,1
13,3139,0.003349770771658745,2020-07-09 07:39:27.647248,3.67822097,1,39.61862213999999,0
14,3461,0.001939497757861244,2020-07-09 07:42:06.423651,1.5877640299999998,1,41.206386169999995,0
15,3303,0.0037477213627282193,2020-07-09 07:46:43.168536,2.76744885,1,43.973835019999996,0
16,3772,0.0007364207908442778,2020-07-09 07:53:58.369089,4.3520055300000005,0,48.325840549999995,1
17,4492,0.00011872677421441876,2020-07-09 07:55:38.465328,1.00096239,0,49.32680293999999,1
18,4250,0.0017585973780611154,2020-07-09 08:03:13.653143,4.55187815,0,53.87868108999999,0
19,2768,0.0003329449006949642,2020-07-09 08:09:18.922128,3.65268985,0,57.531370939999995,1
20,6254,0.00019024065500152721,2020-07-09 08:10:08.076301,0.49154173,0,58.02291267,0
21,3486,0.0029056633204546903,2020-07-09 08:18:17.272303,4.89196002,1,62.914872689999996,0
22,7690,0.0012395119817335588,2020-07-09 08:20:01.610890,1.04338587,0,63.95825856,1
