,v,diff,date,dt,event,time_elapsed,pos
0,144513,0.00044786146900728,2020-01-16 06:33:12.389469,2.18234284,0,0.0,0
1,89444,0.0051398601140642125,2020-01-16 06:37:30.254824,2.5786535500000003,1,2.5786535500000003,0
2,60862,7.50422112792155e-05,2020-01-16 06:43:17.255800,3.47000976,0,6.04866331,1
3,73026,0.0006251328610866365,2020-01-16 06:46:11.501148,1.74245348,0,7.79111679,1
4,53741,0.0016983869410461252,2020-01-16 06:54:04.546838,4.7304569,1,12.52157369,1
5,37831,0.0006989864980784423,2020-01-16 06:57:45.552126,2.21005288,0,14.73162657,0
6,34543,0.0005492448022235823,2020-01-16 07:00:18.527347,1.52975221,0,16.26137878,1
7,34055,0.00019969048042004655,2020-01-16 07:08:24.540247,4.860129,0,21.12150778,0
8,25891,4.99288513971559e-05,2020-01-16 07:13:22.194476,2.97654229,0,24.098050070000003,0
9,49850,0.0013490221636657332,2020-01-16 07:15:11.077749,1.08883273,1,25.186882800000003,0
10,35362,0.0005501237917239274,2020-01-16 07:21:05.555768,3.54478019,0,28.731662990000004,0
11,35342,0.0004001200413489556,2020-01-16 07:29:23.227158,4.9767139,0,33.708376890000004,1
12,34579,0.0011994004436344371,2020-01-16 07:31:48.931436,1.4570427799999999,0,35.165419670000006,1
13,20461,0.00034955432180355,2020-01-16 07:39:21.627952,4.52696516,0,39.69238483000001,1
14,20498,4.992635863141447e-05,2020-01-16 07:42:51.395473,2.09767521,0,41.79006004000001,1
15,34996,0.0004492250942799258,2020-01-16 07:46:24.590573,2.131951,0,43.92201104000001,1
16,50990,0.0012483461037425172,2020-01-16 07:50:52.109031,2.6751845800000003,0,46.59719562000001,0
17,66531,0.0002748454011928067,2020-01-16 07:56:53.444068,3.61335037,0,50.21054599000001,0
18,38769,7.497094879259455e-05,2020-01-16 08:02:48.839359,3.55395291,0,53.76449890000001,0
19,37628,0.0002498813076797634,2020-01-16 08:07:11.500215,2.62660856,0,56.39110746000001,1
20,45979,0.0007498313230927846,2020-01-16 08:11:10.516069,2.39015854,0,58.78126600000001,0
21,42924,0.00034999125379133155,2020-01-16 08:19:44.832920,5.143168510000001,0,63.92443451000001,1
22,17325,0.0005500412669616544,2020-01-16 08:20:00.470317,0.15637397,0,64.08080848000002,0
23,18531,5.0016255293347284e-05,2020-01-16 08:26:42.385283,4.01914966,0,68.09995814000001,1
24,20702,0.0003000450090019606,2020-01-16 08:34:05.213130,4.42827847,0,72.52823661000001,1
