,v,diff,date,dt,event,time_elapsed,pos
0,16092,0.0026289860689159587,2019-10-16 06:32:03.525091,1.71360311,1,0.0,0
1,24232,0.0016439260647834806,2019-10-16 06:38:42.754156,3.9922906499999997,0,3.9922906499999997,1
2,48392,0.0004928941198942838,2019-10-16 06:41:05.392671,1.4263851500000002,0,5.4186758,0
3,31951,0.003951923470342561,2019-10-16 06:48:36.651984,4.51259313,1,9.93126893,0
4,11628,0.0,2019-10-16 06:54:15.438092,3.38786108,0,13.31913001,0
5,35394,0.002808758558654858,2019-10-16 06:59:09.094117,2.93656025,1,16.25569026,0
6,29547,0.0014901898609982116,2019-10-16 07:01:57.533021,1.6843890400000001,0,17.9400793,0
7,14922,0.004793793790575599,2019-10-16 07:08:34.605809,3.97072788,1,21.91080718,1
8,6185,0.0009899357350250026,2019-10-16 07:13:55.181925,3.20576116,0,25.11656834,0
9,6418,0.000825695695495297,2019-10-16 07:18:31.489769,2.7630784399999997,0,27.87964678,0
10,5399,0.0011557831716728305,2019-10-16 07:22:24.993537,2.33503768,0,30.21468446,1
11,13332,0.0007422986855752281,2019-10-16 07:28:22.451020,3.5745748300000004,0,33.789259290000004,1
12,4526,0.0020633028406886744,2019-10-16 07:31:41.734274,1.99283254,0,35.782091830000006,0
13,16566,0.000413171926714144,2019-10-16 07:39:30.808412,4.69074138,0,40.472833210000005,0
14,10262,0.0010738921357523073,2019-10-16 07:40:45.801259,0.74992847,0,41.222761680000005,1
15,10222,0.0011565470103704891,2019-10-16 07:49:49.006787,5.432055279999999,0,46.654816960000005,0
16,6161,0.0006610477847728845,2019-10-16 07:52:01.336529,1.32329742,0,47.97811438000001,1
17,7954,0.0018189339450699284,2019-10-16 07:59:15.632154,4.342956249999999,0,52.32107063000001,0
18,7865,0.0008271983265955365,2019-10-16 08:01:17.778074,1.2214592,0,53.54252983000001,1
19,8994,0.0016550814767867443,2019-10-16 08:06:55.548964,3.3777089,0,56.92023873000001,0
20,7265,0.0004968121324344701,2019-10-16 08:10:48.223459,2.32674495,0,59.24698368000001,1
21,7157,0.002315198652803304,2019-10-16 08:16:08.169441,3.19945982,1,62.44644350000001,1
22,6431,0.0,2019-10-16 08:23:18.279600,4.30110159,0,66.74754509,0
23,11057,0.00041303540300545986,2019-10-16 08:28:14.100910,2.9582131,0,69.70575819,0
