,date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
0,2020-07-30,2.58,2.0666526,amc,3,59685000000,53033749999,AAPL,2020
1,2020-04-30,2.55,2.3063219999999998,amc,2,58313000000,55358099999,AAPL,2020
2,2020-01-28,4.99,5.3498592,amc,1,91819000000,89756449999,AAPL,2020
3,2019-10-30,3.03,2.8961268000000002,amc,4,64040000000,63929939186,AAPL,2019
4,2020-07-22,1.46,1.369758,amc,4,38033000000,37047500000,MSFT,2020
5,2020-04-29,1.4,1.289943,amc,3,35021000000,34164899999,MSFT,2020
6,2020-01-29,1.51,1.6425264,amc,2,36906000000,36205050000,MSFT,2020
7,2019-10-23,1.38,1.2700734000000002,amc,1,33055000000,32713249710,MSFT,2020
8,2020-07-28,1.06,1.0513548,amc,3,4837000000,4892300000,V,2020
9,2020-04-30,1.39,1.3733994,amc,2,5854000000,5836249999,V,2020
10,2020-01-30,1.46,1.4000724000000002,amc,1,6054000000,6161049999,V,2020
11,2019-10-24,1.47,1.4546424,amc,4,6137000000,6175022256,V,2019
12,2020-07-30,1.36,1.2000427,bmo,2,3335000000,3298749999,MA,2020
13,2020-04-29,1.83,1.7794898,bmo,1,4009000000,4029549999,MA,2020
14,2020-01-29,1.96,1.9429817000000003,bmo,4,4414000000,4466000000,MA,2019
15,2019-10-29,2.15,2.0734209000000003,bmo,3,4467000000,4490627239,MA,2019
16,2020-06-11,2.45,2.2713258000000005,amc,2,3128000000,3207399999,ADBE,2020
17,2020-03-12,2.27,2.6917392,amc,1,3091000000,3095749999,ADBE,2020
18,2019-12-12,2.29,2.3026296000000004,amc,4,2991944000,3017261349,ADBE,2019
19,2019-09-17,2.05,2.011746,amc,3,2834126000,2860459317,ADBE,2019
20,2020-07-29,1.07,0.8952642,amc,2,5261000000,5024249999,PYPL,2020
21,2020-05-06,0.66,0.765969,amc,1,4618000000,4821250000,PYPL,2020
22,2020-01-29,0.86,1.00011,amc,4,4961000000,5014099999,PYPL,2019
23,2019-10-23,0.61,0.5342862,amc,3,4378000000,4416525377,PYPL,2019
24,2020-08-25,1.44,0.7000310000000001,amc,2,5151000000,4973499999,CRM,2021
25,2020-05-28,0.7,0.5606106,amc,1,4865000000,4922750000,CRM,2021
26,2020-02-25,0.66,0.7733166,amc,4,4851000000,4821250000,CRM,2020
27,2019-12-03,0.75,0.6633478,amc,3,4513000000,4512561876,CRM,2020
28,2020-06-25,1.9,1.7392705000000002,bmo,3,10991000000,11043199999,ACN,2020
29,2020-03-19,1.91,2.1204142000000004,bmo,2,11142000000,11256349999,ACN,2020
30,2019-12-19,2.09,2.0152025,bmo,1,11358958000,11311251522,ACN,2020
31,2019-09-26,1.74,1.7309077,bmo,4,11055650000,11246112506,ACN,2019
32,2020-06-16,1.2,0.9781086,amc,4,10441000000,10830049999,ORCL,2020
33,2020-03-12,0.97,0.9614826,amc,3,9797000000,9896250000,ORCL,2020
34,2019-12-12,0.9,0.902547,amc,2,9615000000,9790072707,ORCL,2020
35,2019-09-11,0.81,0.8227524,amc,1,9220000000,9428430237,ORCL,2020
36,2020-07-20,2.18,2.0955379,amc,2,18123000000,17985800000,IBM,2020
37,2020-04-20,1.84,1.8131318,amc,1,17571000000,17884300000,IBM,2020
38,2020-01-21,4.71,4.73185,amc,4,21777000000,21961804984,IBM,2019
39,2019-10-16,2.68,2.6930741,amc,3,18028000000,18490194434,IBM,2019
40,2020-08-04,1.15,1.1019402999999999,bmo,2,2962000000,2913049999,FIS,2020
41,2020-05-07,1.28,1.2905275,bmo,1,3078000000,3136349999,FIS,2020
42,2020-02-13,1.57,1.6930327,bmo,4,3341000000,3379949999,FIS,2019
43,2019-11-05,1.43,1.36855,bmo,3,2822000000,2843495805,FIS,2019
44,2020-07-29,1.23,1.0238167999999999,amc,2,1071000000,1065749999,NOW,2020
45,2020-04-29,1.05,0.9632672999999999,amc,1,1046000000,1035299999,NOW,2020
46,2020-01-29,0.96,1.0997284,amc,4,951774000,955257099,NOW,2019
47,2019-10-23,0.99,0.8936883999999999,amc,3,885833000,898276420,NOW,2019
48,2020-08-25,1.81,4.6915206000000005,amc,4,1816000000,1593549999,INTU,2020
49,2020-05-21,4.49,1.043256,amc,3,3002000000,3390099999,INTU,2020
50,2020-02-24,1.16,0.35074740000000004,amc,2,1696000000,1705199999,INTU,2020
